Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
8500,1.31744855e-05,27916.48,4667505.5,0.1283286,1.0000001e-05,1.0,1434.0,1.0
17000,1.3174416e-05,27258.988,5681263.0,0.12672618,1.0000001e-05,-0.2,2266.8,-0.2
25500,1.3174416e-05,26507.438,5097326.0,0.13860662,1.0000001e-05,0.0,1922.75,0.0
34000,1.3174416e-05,25766.24,4864209.5,0.12806757,1.0000001e-05,0.3333333333333333,2044.3333333333333,0.3333333333333333
42500,1.3174416e-05,25066.951,4900289.0,0.13552079,1.0000001e-05,-0.2,2299.0,-0.2
51000,1.3174416e-05,24340.525,3807214.0,0.12975343,1.0000001e-05,0.0,2017.5,0.0
59500,1.3174416e-05,23671.275,4340368.0,0.12814689,1.0000001e-05,0.3333333333333333,1784.6666666666667,0.3333333333333333
68000,1.3174416e-05,22969.088,4034858.2,0.13160625,1.0000001e-05,-0.5,1961.75,-0.5
76500,1.3174416e-05,22280.252,3906179.0,0.12849407,1.0000001e-05,-0.6,2180.0,-0.6
85000,1.3174416e-05,21583.738,3277993.5,0.12315838,1.0000001e-05,-0.3333333333333333,2113.6666666666665,-0.3333333333333333
93500,1.3174416e-05,20886.738,2864221.2,0.12713964,1.0000001e-05,0.3333333333333333,2429.6666666666665,0.3333333333333333
102000,1.31744155e-05,20209.275,2913335.0,0.1361898,1.0000001e-05,0.0,2353.75,0.0
110500,1.3174416e-05,19523.963,3061030.0,0.11779105,1.0000001e-05,-0.5,2087.25,-0.5
119000,1.3174416e-05,18825.906,2429991.2,0.1294009,1.0000001e-05,0.0,2151.5,0.0
127500,1.3174416e-05,18113.498,2389425.0,0.13313843,1.0000001e-05,0.0,1848.5,0.0
136000,1.3174416e-05,17420.621,2548178.8,0.13073292,1.0000001e-05,0.0,1894.25,0.0
144500,1.3174416e-05,16750.213,2273446.0,0.13235685,1.0000001e-05,-0.2,1950.6,-0.2
153000,1.3174416e-05,16036.4795,1705448.2,0.12551834,1.0000001e-05,-1.0,2137.6666666666665,-1.0
161500,1.3174416e-05,15335.639,1859219.6,0.12378719,1.0000001e-05,0.0,2292.25,0.0
170000,1.3174416e-05,14654.862,1525085.0,0.12125381,1.0000001e-05,-0.5,2300.5,-0.3333333333333333
178500,1.3174416e-05,13957.252,1592185.9,0.1300383,1.0000001e-05,0.0,1853.25,-0.2
187000,1.3174416e-05,13278.233,1314635.8,0.12820481,1.0000001e-05,0.0,2219.0,0.0
195500,1.3174416e-05,12599.234,1144703.2,0.1262488,1.0000001e-05,0.0,1903.0,0.0
204000,1.3174416e-05,11881.653,1041673.5,0.14210224,1.0000001e-05,0.3333333333333333,2009.3333333333333,0.3333333333333333
212500,1.3174416e-05,11211.859,1073930.4,0.13144815,1.0000001e-05,-0.2,2089.0,-0.2
221000,1.3174416e-05,10577.914,966173.4,0.13260925,1.0000001e-05,-0.2,1974.2,-0.2
229500,1.3174416e-05,9908.117,570269.6,0.12755765,1.0000001e-05,-0.5,2025.0,-0.5
238000,1.3174416e-05,9229.671,691351.44,0.13659921,1.0000001e-05,1.0,2072.5,1.0
246500,1.3174416e-05,8574.541,601722.44,0.124771036,1.0000001e-05,0.0,2016.1666666666667,0.0
255000,1.3174416e-05,7952.2104,446496.84,0.13191862,1.0000001e-05,0.0,2604.0,0.0
263500,1.3174416e-05,7348.896,349734.3,0.13369685,1.0000001e-05,-0.3333333333333333,2436.3333333333335,-0.3333333333333333
272000,1.3174416e-05,6787.2354,379486.12,0.12890524,1.0000001e-05,-0.6,2506.6,-0.6
280500,1.3174416e-05,6271.603,258633.45,0.13326669,1.0000001e-05,-0.3333333333333333,2092.0,-0.3333333333333333
289000,1.3174416e-05,5799.301,287340.8,0.12670386,1.0000001e-05,-0.5,2370.0,-0.5
297500,1.3174416e-05,5366.47,185430.52,0.140393,1.0000001e-05,-0.3333333333333333,2224.0,-0.3333333333333333
306000,1.3174416e-05,4972.408,199241.56,0.1371505,1.0000001e-05,0.3333333333333333,2208.3333333333335,0.3333333333333333
314500,1.3174416e-05,4609.2485,160594.81,0.13489868,1.0000001e-05,-0.2,2364.8,-0.2
323000,1.3174416e-05,4277.696,131078.66,0.123258226,1.0000001e-05,-0.3333333333333333,2283.3333333333335,-0.3333333333333333
331500,1.3174416e-05,3970.856,117818.2,0.124902576,1.0000001e-05,0.0,1883.0,0.0
340000,1.3174416e-05,3689.7512,101764.06,0.13447896,1.0000001e-05,0.0,1901.5,0.0
348500,1.3174416e-05,3435.1287,91602.41,0.1268373,1.0000001e-05,0.0,2048.5,0.0
357000,1.3174416e-05,3198.5276,75553.66,0.123352975,1.0000001e-05,-0.5,1979.25,-0.5
365500,1.3174416e-05,2988.7874,63615.273,0.12815079,1.0000001e-05,-0.2,2297.8,-0.2
374000,1.3174416e-05,2792.902,63416.12,0.119361475,1.0000001e-05,-0.3333333333333333,2210.0,-0.3333333333333333
382500,1.31744155e-05,2624.957,51692.74,0.12266186,1.0000001e-05,0.0,2120.25,0.0
391000,1.3174416e-05,2476.8064,45086.496,0.14053383,1.0000001e-05,-0.2,2136.8,-0.2
399500,1.3174416e-05,2330.9072,42965.348,0.123086534,1.0000001e-05,0.3333333333333333,2029.6666666666667,0.3333333333333333
408000,1.3174416e-05,2195.343,39012.895,0.14152862,1.0000001e-05,0.2,1782.6,0.2
416500,1.3174416e-05,2087.2927,38257.348,0.13673833,1.0000001e-05,-0.2,2200.0,-0.2
425000,1.3174416e-05,1986.7234,26126.2,0.1288943,1.0000001e-05,0.3333333333333333,1596.6666666666667,0.3333333333333333
433500,1.3174416e-05,1903.5436,28504.635,0.13429703,1.0000001e-05,0.0,2313.75,0.0
