Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2500,1.3293624e-05,26730.027,-1.0,2062.0,-1.0
5000,1.3293625e-05,26742.29,-1.0,2065.0,-1.0
7500,1.3293624e-05,26741.758,-1.0,2044.5,-1.0
10000,1.3293625e-05,26741.9,None,None,-1.0
12500,1.3293625e-05,26740.477,-1.0,2066.0,-1.0
15000,1.3293624e-05,26738.664,-1.0,2074.0,-1.0
17500,1.3293625e-05,26744.11,-1.0,2052.0,-1.0
20000,1.3293624e-05,26743.021,-1.0,2059.5,-1.0
22500,1.3293625e-05,26743.648,-1.0,2045.0,-1.0
25000,1.3293625e-05,26741.377,-1.0,2051.0,-1.0
27500,1.3293626e-05,26738.078,-1.0,2084.0,-1.0
30000,1.3293623e-05,26739.697,-1.0,2068.0,-1.0
32500,1.3293625e-05,26740.336,-1.0,2038.0,-1.0
35000,1.3293626e-05,26741.262,-1.0,2058.0,-1.0
37500,1.3293624e-05,26733.936,-1.0,2048.0,-1.0
40000,1.3293625e-05,26733.727,-1.0,2038.0,-1.0
42500,1.3293626e-05,26740.33,-1.0,2049.5,-1.0
45000,1.3293626e-05,26740.688,-1.0,2058.0,-1.0
47500,1.3293624e-05,26738.836,-1.0,2075.0,-1.0
50000,1.3293624e-05,26744.475,-1.0,2051.0,-1.0
52500,1.3293625e-05,26741.742,-1.0,2065.0,-1.0
55000,1.3293624e-05,26742.756,-1.0,2061.0,-1.0
57500,1.3293625e-05,26741.572,-1.0,2062.0,-1.0
60000,1.3293624e-05,26734.89,-1.0,2064.0,-1.0
62500,1.3293624e-05,26742.512,-1.0,2055.0,-1.0
65000,1.3293626e-05,26741.236,-1.0,2049.5,-1.0
67500,1.3293625e-05,26743.684,-1.0,2048.0,-1.0
70000,1.3293625e-05,26743.406,-1.0,2052.0,-1.0
72500,1.3293624e-05,26738.646,-1.0,2064.0,-1.0
75000,1.3293625e-05,26738.092,-1.0,2052.0,-1.0
77500,1.3293624e-05,26742.266,-1.0,2059.5,-1.0
80000,1.3293625e-05,26741.818,-1.0,2048.0,-1.0
82500,1.3293625e-05,26741.729,-1.0,2071.0,-1.0
85000,1.3293624e-05,26741.36,-1.0,2055.0,-1.0
87500,1.3293625e-05,26738.355,-1.0,2068.0,-1.0
90000,1.3293625e-05,26738.62,-1.0,2051.5,-1.0
92500,1.3293624e-05,26741.934,-1.0,2051.0,-1.0
95000,1.3293624e-05,26739.666,-1.0,2068.0,-1.0
97500,1.3293625e-05,26737.64,-1.0,2065.0,-1.0
100000,1.3293625e-05,26742.955,-1.0,2053.0,-1.0
102500,1.3293625e-05,26741.002,-1.0,2061.0,-1.0
