Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
17000,-16522.553,1.3174416e-05,-1.0,2681.6,-1.0
25500,-16520.105,1.3174416e-05,-1.0,2717.6666666666665,-1.0
34000,-16517.027,1.3174416e-05,-1.0,3053.0,-1.0
42500,-16517.146,1.3174416e-05,-1.0,2905.3333333333335,-1.0
51000,-16518.07,1.3174417e-05,-1.0,2558.75,-1.0
59500,-16519.68,1.3174416e-05,-1.0,2540.0,-1.0
68000,-16521.4,1.3174417e-05,-1.0,2409.2,-1.0
76500,-16521.092,1.3174416e-05,-1.0,2287.5,-1.0
85000,-16517.533,1.3174416e-05,-1.0,2741.0,-1.0
93500,-16522.34,1.3174416e-05,-1.0,2776.6,-1.0
102000,-16518.605,1.3174416e-05,-1.0,2196.0,-1.0
110500,-16518.496,1.3174416e-05,-1.0,2782.6666666666665,-1.0
119000,-16519.777,1.3174416e-05,-1.0,2309.0,-1.0
127500,-16520.42,1.3174417e-05,-1.0,2334.4,-1.0
136000,-16515.879,1.3174416e-05,-1.0,2311.0,-1.0
144500,-16519.404,1.3174416e-05,-1.0,3132.25,-1.0
153000,-16518.709,1.31744155e-05,-1.0,2479.0,-1.0
161500,-16517.158,1.31744155e-05,-1.0,3115.3333333333335,-1.0
170000,-16522.215,1.3174416e-05,-1.0,2432.5,-1.0
178500,-16517.92,1.3174416e-05,-1.0,2312.25,-1.0
187000,-16514.834,1.3174416e-05,-1.0,2350.0,-1.0
195500,-16521.197,1.3174416e-05,-1.0,2904.2,-1.0
204000,-16520.209,1.3174416e-05,-1.0,2211.6666666666665,-1.0
212500,-16313.465,1.3174416e-05,-1.0,3238.0,-1.0
221000,-16216.1045,1.3174416e-05,-1.0,2386.75,-1.0
229500,-16213.368,1.3174417e-05,-1.0,2419.5,-1.0
238000,-16214.682,1.3174417e-05,-1.0,2199.0,-1.0
246500,-16215.482,1.3174417e-05,-1.0,2709.0,-1.0
255000,-16214.615,1.3174417e-05,-1.0,2628.5,-1.0
263500,-16214.801,1.3174416e-05,-1.0,2861.0,-1.0
272000,-16207.154,1.3174416e-05,-1.0,2597.0,-1.0
280500,-16217.237,1.3174416e-05,-1.0,2573.4,-1.0
289000,-16215.771,1.3174416e-05,-1.0,2139.0,-1.0
297500,-16216.538,1.31744155e-05,-1.0,2554.25,-1.0
306000,-16212.156,1.3174417e-05,-1.0,2693.5,-1.0
314500,-16216.76,1.3174416e-05,-1.0,2743.5,-1.0
323000,-16216.39,1.3174416e-05,-1.0,2204.8,-1.0
331500,-16214.829,1.3174416e-05,-1.0,2286.0,-1.0
340000,-16211.667,1.3174417e-05,-1.0,2139.0,-1.0
348500,-16215.088,1.3174417e-05,-1.0,2395.3333333333335,-1.0
357000,-16217.132,1.3174416e-05,-1.0,2908.8,-1.0
365500,-16215.325,1.3174416e-05,-1.0,2239.3333333333335,-1.0
374000,-16214.227,1.31744155e-05,-1.0,2535.75,-1.0
382500,-16214.979,1.31744155e-05,-1.0,2134.6666666666665,-1.0
391000,-16215.469,1.3174416e-05,-1.0,2572.25,-1.0
399500,-16211.542,1.31744155e-05,-1.0,2742.0,-1.0
408000,-16215.253,1.3174416e-05,-1.0,2718.25,-1.0
