Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2500,0.00017056135,20517.984,-1.0,2115.0,-1.0
5000,1.3174416e-05,20525.264,-1.0,2345.0,-1.0
7500,1.3174417e-05,20521.605,-1.0,2138.0,-1.0
10000,1.3174416e-05,20524.043,-1.0,2611.0,-1.0
12500,1.3174417e-05,20521.91,-1.0,2112.0,-1.0
15000,1.3174416e-05,20522.486,-1.0,3371.0,-1.0
17500,1.31744155e-05,20525.645,-1.0,2325.0,-1.0
20000,1.31744155e-05,20521.328,-1.0,2131.0,-1.0
22500,1.3174416e-05,20521.281,-1.0,2151.0,-1.0
25000,1.3174416e-05,20524.387,-1.0,2632.0,-1.0
27500,1.31744155e-05,20520.922,-1.0,2371.0,-1.0
30000,1.3174416e-05,20520.86,-1.0,3291.0,-1.0
32500,1.3174416e-05,20521.273,-1.0,2145.0,-1.0
35000,1.31744155e-05,20520.973,-1.0,2531.0,-1.0
37500,1.31744155e-05,20521.242,-1.0,2458.0,-1.0
40000,1.3174417e-05,20521.445,-1.0,2112.0,-1.0
42500,1.3174417e-05,20520.918,-1.0,3118.0,-1.0
45000,1.3174416e-05,20521.264,-1.0,2118.0,-1.0
47500,1.3174416e-05,20522.215,-1.0,3381.0,-1.0
50000,1.3174416e-05,20519.57,-1.0,3865.0,None
52500,1.3174416e-05,20524.785,None,None,-1.0
55000,1.31744155e-05,20523.7,-1.0,2954.0,-1.0
57500,1.3174416e-05,20521.592,-1.0,2142.0,-1.0
60000,1.3174416e-05,20521.027,-1.0,3281.0,-1.0
62500,1.3174416e-05,20526.012,-1.0,2245.0,-1.0
65000,1.3174417e-05,20524.031,-1.0,2604.0,-1.0
67500,1.3174417e-05,20519.361,-1.0,3398.0,None
70000,1.3174416e-05,20525.205,None,None,-1.0
72500,1.3174416e-05,20521.39,-1.0,2145.0,-1.0
75000,1.31744155e-05,20521.54,-1.0,2154.0,-1.0
77500,1.3174416e-05,20519.607,-1.0,3168.0,None
80000,1.3174416e-05,20522.084,-1.0,2102.0,-1.0
82500,1.3174416e-05,20520.793,-1.0,2494.0,-1.0
85000,1.3174416e-05,20521.34,-1.0,2148.0,-1.0
87500,1.3174416e-05,20521.303,-1.0,2128.0,-1.0
90000,1.3174416e-05,20520.725,-1.0,2775.0,-1.0
92500,1.31744155e-05,20520.95,-1.0,2541.0,-1.0
95000,1.31744155e-05,20521.559,-1.0,2152.0,-1.0
97500,1.3174416e-05,20520.838,-1.0,2784.0,-1.0
100000,1.3174416e-05,20521.19,-1.0,2172.0,-1.0
