Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
12500,-8514.123,1.3174416e-05,-1.0,2517.2,-1.0
15000,-8507.792,1.31744155e-05,None,None,-1.0
17500,-8510.623,1.3174416e-05,None,None,None
20000,-8516.6,1.3174416e-05,None,None,None
22500,-8511.88,1.3174417e-05,-1.0,2780.3333333333335,-1.0
25000,-8514.395,1.3174416e-05,None,None,-1.0
27500,-8507.155,1.3174416e-05,-1.0,2901.5,-1.0
30000,-8518.725,1.3174417e-05,None,None,None
32500,-8510.484,1.3174416e-05,None,None,None
35000,-8515.789,1.3174416e-05,-1.0,2529.5,-1.0
37500,-8511.332,1.3174416e-05,None,None,None
40000,-8505.8125,1.31744155e-05,-1.0,2871.6666666666665,-1.0
42500,-8512.6,1.3174416e-05,-1.0,2162.0,-1.0
45000,-8516.436,1.3174416e-05,None,None,-1.0
47500,-8505.227,1.3174416e-05,None,None,None
50000,-8508.083,1.31744155e-05,-1.0,2321.0,-1.0
52500,-8510.38,1.3174416e-05,-1.0,2128.0,-1.0
55000,-8518.037,1.3174417e-05,-1.0,3878.0,None
57500,-8511.558,1.31744155e-05,-1.0,2141.0,-1.0
60000,-8507.303,1.31744155e-05,-1.0,2214.0,-1.0
62500,-8510.454,1.3174415e-05,-1.0,3038.0,None
65000,-8511.816,1.3174416e-05,None,None,-1.0
67500,-8516.03,1.3174416e-05,-1.0,2287.5,-1.0
70000,-8503.479,1.31744155e-05,-1.0,3881.0,None
72500,-8503.229,1.3174416e-05,-1.0,2682.0,-1.0
75000,-8512.457,1.3174417e-05,-1.0,2158.0,-1.0
77500,-8517.125,1.3174416e-05,None,None,None
80000,-8514.401,1.3174416e-05,-1.0,2573.0,-1.0
82500,-8509.727,1.31744155e-05,None,None,None
85000,-8504.924,1.3174416e-05,None,None,None
87500,-8508.815,1.3174417e-05,-1.0,2406.0,-1.0
90000,-8510.252,1.3174417e-05,-1.0,3025.0,-1.0
92500,-8518.086,1.3174417e-05,-1.0,2125.0,-1.0
95000,-8505.398,1.31744155e-05,None,None,None
97500,-8506.643,1.31744155e-05,-1.0,2388.0,-1.0
