Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
22500,6223.192,1.3174416e-05,-1.0,2087.3,-1.0
25000,6219.7617,None,None,None,None
27500,6211.617,1.3174419e-05,None,None,None
30000,6220.4727,1.3174418e-05,-1.0,2055.0,-1.0
32500,6221.659,1.3174416e-05,-1.0,2058.0,-1.0
35000,6224.2407,1.3174416e-05,None,None,None
37500,6224.0938,1.3174419e-05,None,None,None
40000,6230.2754,None,None,None,None
42500,6225.6304,1.3174416e-05,-1.0,2078.25,-1.0
45000,6219.6113,1.3174417e-05,None,None,None
47500,6220.07,1.31744155e-05,-1.0,2074.0,-1.0
50000,6214.3955,1.3174417e-05,-1.0,2046.0,None
52500,6230.6753,1.3174416e-05,None,None,-1.0
55000,6222.9287,1.3174417e-05,None,None,None
57500,6218.921,1.317442e-05,-1.0,2085.0,-1.0
60000,6223.8804,None,None,None,None
62500,6223.978,1.3174417e-05,-1.0,2084.1428571428573,-1.0
65000,6218.5977,1.3174417e-05,None,None,None
67500,6230.2905,1.3174415e-05,None,None,None
70000,6214.5635,1.31744155e-05,-1.0,2043.0,None
72500,6224.1646,1.3174416e-05,None,None,-1.0
75000,6224.197,1.3174416e-05,-1.0,2074.5,-1.0
77500,6218.206,1.31744155e-05,None,None,None
80000,6227.756,1.3174417e-05,None,None,None
82500,6219.5557,1.317442e-05,-1.0,2095.0,-1.0
85000,6222.471,1.3174416e-05,-1.0,2092.0,-1.0
87500,6218.7686,1.3174416e-05,None,None,None
90000,6230.703,1.31744155e-05,-1.0,2085.0,-1.0
92500,6222.491,1.3174419e-05,None,None,None
95000,6220.826,None,None,None,None
97500,6221.3477,1.31744155e-05,None,None,None
100000,6214.586,1.3174417e-05,None,None,None
102500,6226.2056,1.3174415e-05,-1.0,2075.0,-1.0
105000,6222.702,1.3174417e-05,-1.0,2090.4285714285716,-1.0
107500,6221.415,1.3174415e-05,None,None,None
110000,6230.6084,1.31744155e-05,None,None,None
112500,6222.9204,1.3174418e-05,-1.0,2081.0,-1.0
115000,6227.033,1.3174415e-05,None,None,None
117500,6224.7344,1.3174419e-05,None,None,None
120000,6216.267,None,None,None,None
122500,6217.2046,1.3174419e-05,None,None,None
125000,6220.4653,1.3174416e-05,-1.0,2098.125,-1.0
127500,6226.3154,1.3174416e-05,-1.0,2092.0,-1.0
130000,6226.7617,1.31744155e-05,-1.0,2075.0,-1.0
132500,6214.1553,None,None,None,None
135000,6216.992,1.3174419e-05,None,None,None
137500,6216.276,1.3174416e-05,None,None,None
140000,6223.7524,1.3174416e-05,None,None,None
142500,6224.7734,None,None,None,None
145000,6222.764,1.3174416e-05,-1.0,2090.3333333333335,-1.0
147500,6221.3345,1.31744155e-05,-1.0,2101.3333333333335,-1.0
150000,6231.3184,1.3174416e-05,-1.0,2084.0,-1.0
152500,6221.3994,1.3174417e-05,None,None,None
155000,6220.5537,1.317442e-05,-1.0,2065.0,-1.0
157500,6215.3984,1.3174419e-05,None,None,None
160000,6218.6396,None,None,None,None
162500,6221.0264,1.3174416e-05,None,None,None
165000,6223.5664,1.3174417e-05,-1.0,2091.4,-1.0
167500,6220.7603,1.31744155e-05,-1.0,2098.0,-1.0
170000,6228.392,1.3174416e-05,None,None,None
172500,6225.697,1.3174417e-05,-1.0,2066.5,-1.0
175000,6215.1396,1.31744155e-05,None,None,None
177500,6220.017,1.317442e-05,-1.0,2065.0,-1.0
180000,6224.456,1.31744155e-05,-1.0,2048.0,-1.0
182500,6223.0156,1.3174417e-05,-1.0,2078.0,-1.0
185000,6224.4673,1.3174415e-05,-1.0,2095.0,-1.0
187500,6222.7197,1.3174419e-05,None,None,None
190000,6223.559,1.3174417e-05,-1.0,2079.3333333333335,-1.0
192500,6226.8267,1.31744155e-05,-1.0,2074.5,-1.0
195000,6215.3447,1.3174417e-05,None,None,None
197500,6220.1846,1.3174415e-05,None,None,None
200000,6217.29,1.31744155e-05,None,None,None
