Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
8500,2.1972241,-0.8661668417820086,1425.8333333333333,-0.00015004697,-0.9033334732055665
17000,2.1972244,-0.9036668453676006,1408.1666666666667,-0.00015016727,-0.8635834952195486
25500,2.1972241,-0.9738057363235081,1430.3333333333333,-0.0001501679,-0.9720279177029928
34000,2.1972241,-0.9689724034396932,1442.1666666666667,-0.00015016271,-0.9508891105651855
42500,2.1972241,-0.8912779586777712,1403.6666666666667,-0.00015011808,-0.8857779006163279
51000,2.1972241,-0.9080279538951194,1402.1666666666667,-0.00015023486,-0.953222374121348
59500,2.1972241,-0.9451192256861499,1390.2857142857142,-0.0001502,-0.9113572921071734
68000,2.1972241,-0.9425557385353992,1431.1666666666667,-0.00015023252,-0.93155570824941
76500,2.1972241,-0.9297668471001088,1415.4,-0.00015020173,-0.9512668132781983
85000,2.1972244,-0.8909049418621829,1399.7142857142858,-0.00015012956,-0.9119763629777091
93500,2.1972241,-0.9615279587839419,1432.8333333333333,-0.00015020948,-0.9443612595399221
102000,2.1972241,-0.9481001832988113,1433.6,-0.00015008202,-0.946366822719574
110500,2.1972241,-0.9526390674679229,1424.5,-0.0001500715,-0.9487779835859934
119000,2.1972241,-0.8996430334768125,1396.142857142857,-0.00015015418,-0.898381131035941
127500,2.1972244,-0.8845557340731224,1381.5,-0.00015021903,-0.9030279517173767
136000,2.1972244,-0.928139067060935,1407.3333333333333,-0.00015023026,-0.9233890374501547
144500,2.1972241,-0.9763335134678831,1428.6666666666667,-0.00015013073,-0.9719168245792389
153000,2.1972241,-0.8767501778202131,1381.6666666666667,-0.00015007076,-0.905611256758372
161500,2.1972241,-0.8895001772713537,1389.6666666666667,-0.0001501886,-0.8671112557252248
170000,2.1972244,-0.8711390633834526,1413.8333333333333,-0.00015018831,-0.9016112585862478
178500,2.1972244,-0.9504168446486195,1419.5,-0.0001501341,-0.9080279370148977
187000,2.1972241,-0.8340557316550985,1383.0,-0.00015007066,-0.8643890619277954
