Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
11000,0.0019940594,2.1972244,-0.7281667932984419,7416.0,-0.728166788816452
16500,0.001994191,2.1972244,-0.6326667802641168,6663.0,-0.6326668858528137
22000,0.001994066,2.1972246,-0.5808334521134384,6789.0,-0.5808334648609161
27500,0.001994195,2.1972246,None,None,None
33000,0.0019941302,2.1972241,-0.6111667837831192,6870.0,-0.6111668348312378
38500,0.0019940457,2.1972246,-0.6453334526740946,6955.0,-0.6453334093093872
44000,0.0019940801,2.1972241,-0.5905001166975126,6828.0,-0.5905002653598785
49500,0.0019942715,2.1972246,-0.6375001175911166,6787.0,-0.6375002861022949
55000,0.0019942976,2.1972246,-0.500333454576321,6712.0,None
60500,0.0019943046,2.1972241,None,None,-0.5003335177898407
66000,0.0019942364,2.1972246,-0.6513334499904886,6823.0,-0.6513335406780243
71500,0.0019940555,2.1972241,-0.5960001187049784,6833.0,-0.5960001647472382
77000,0.001993906,2.1972244,-0.5186667813686654,6790.0,-0.5186667740345001
82500,0.0019943225,2.1972241,-0.6363334466004744,6824.0,-0.6363335847854614
88000,0.0019941726,2.1972246,None,None,None
93500,0.0019940948,2.1972244,-0.5876667849952355,7037.0,-0.5876668691635132
99000,0.0019941968,2.1972241,-0.5618334554601461,6792.0,-0.5618335008621216
104500,0.001994083,2.1972246,-0.5795001133810729,6746.0,-0.579500138759613
110000,0.0019944175,2.1972241,-0.6130001168930903,6952.0,-0.6130000948905945
115500,0.0019941106,2.1972246,None,None,None
121000,0.0019940678,2.1972246,-0.537833450071048,6997.0,-0.5378335118293762
126500,0.0019941733,2.1972244,-0.5660001201904379,6705.0,-0.5660000741481781
132000,0.001993884,2.1972246,-0.636000114493072,6786.0,-0.6360002160072327
137500,0.001994047,2.1972244,-0.6551667853491381,7123.0,None
143000,0.00199415,2.1972244,-0.5308334545698017,6620.0,-0.6551668047904968
148500,0.00199422,2.1972246,None,None,-0.5308335721492767
154000,0.00199417,2.1972244,-0.5341667829197831,6707.0,-0.5341668725013733
159500,0.0019939425,2.1972246,-0.5958334500901401,6827.0,-0.5958335399627686
165000,0.0019938238,2.1972241,-0.636000118101947,7246.0,-0.6360001862049103
170500,0.0019940548,2.1972244,-0.594333449320402,6706.0,None
176000,0.001994069,2.1972246,None,None,-0.5943334698677063
181500,0.0019940997,2.1972244,-0.5331667823484167,6707.0,-0.5331668257713318
