Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
13000,-0.0009446512,2.197204,0.44386657685390674,7206.0,0.4438665807247162
19500,-0.0009562371,2.1972044,0.5340332488704007,6924.0,0.5340332388877869
26000,-0.0008672948,2.197204,0.5982999140542233,6913.0,0.5982999056577682
32500,-0.0008348553,2.197204,0.5155332460126374,7115.0,0.5155331939458847
39000,-0.0007880558,2.197204,0.5911665822568466,6530.0,0.5823332369327545
45500,-0.0012554904,2.1972044,None,None,0.5999998450279236
52000,-0.00079347374,2.1972044,0.5302665787894512,6965.0,0.5302665829658508
58500,-0.00050622167,2.197204,0.504233247062075,7217.0,0.5042332261800766
65000,-0.0008783646,2.1972046,0.5534332494280534,6842.0,0.5534332245588303
71500,-0.00078906264,2.197204,0.41866657983337063,7033.0,0.4186665117740631
78000,-0.0009944726,2.1972046,0.5335999156086473,6879.0,0.5335998237133026
84500,-0.0007432587,2.1972044,0.546666580135934,7047.0,0.5466665476560593
91000,-0.00077829376,2.1972044,0.6061332503741141,6698.0,0.6061332374811172
97500,-0.0010408292,2.1972044,0.46216657767945435,7197.0,0.4621664583683014
104000,-0.0011195064,2.197204,0.5330999127181713,6951.0,None
110500,-0.0009163421,2.1972044,None,None,0.5330998599529266
117000,-0.0008032441,2.1972039,0.5161332489660708,6974.0,0.5161331593990326
123500,-0.0009076234,2.1972044,0.5561999163182918,6651.0,0.5561998784542084
130000,-0.0008968841,2.1972044,0.5141999171464704,6777.0,0.5141998529434204
136500,-0.0008180199,2.1972044,0.5761665828322293,6747.0,0.5761664807796478
143000,-0.00090767787,2.1972046,0.5296999157144455,6863.0,0.5296998918056488
149500,-0.0009155861,2.1972044,0.5423332505888538,6532.0,0.5423332452774048
156000,-0.00093435653,2.1972046,0.5073665801028255,7279.0,0.5073665082454681
162500,-0.00091356115,2.1972046,0.5480332472652663,6680.0,0.5480331778526306
169000,-0.00043127808,2.1972046,0.5112332458957098,7131.0,0.5112331807613373
175500,-0.00062277674,2.1972044,0.4950665816140827,6797.0,0.4950665533542633
182000,-0.0008163632,2.1972044,0.5875332490395522,6681.0,0.5875331982970238
188500,-0.0009776641,2.1972046,0.640766580865602,6630.0,0.6407665237784386
195000,-0.0008316231,2.197204,0.5292999149532989,6796.0,0.5292998850345612
