Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
500,2.197202,-0.0075518116,-1.5437499503605068,238.0,-1.5437499284744263
1000,2.1972022,-0.004115706,-1.9094999385997653,270.0,-1.909499853849411
1500,2.1972017,-0.009930372,-2.431999921798706,385.0,-2.878499984741211
2000,2.1972015,-0.007252162,-2.127999931573868,323.0,-2.0567499697208405
2500,2.1968825,-0.049359407,-1.6244999477639794,270.0,-1.624499961733818
3000,2.1968343,-0.06725878,-1.9189999382942915,318.5,-2.242000102996826
3500,2.1968265,-0.0639855,-2.669499914161861,453.0,-2.1327499002218246
4000,2.1968398,-0.066791445,-1.7574999434873462,274.5,-2.2135000228881836
4500,2.194805,-0.082370214,-2.6029999163001776,418.0,-1.9522500038146973
5000,2.1936069,-0.11522433,-2.906999906525016,493.0,-2.9069998264312744
5500,2.1938088,-0.11476533,-2.7074999129399657,474.0,-2.7074999809265137
6000,2.1936762,-0.11459163,-1.9284999379888177,339.0,-1.92849999666214
6500,2.1884103,-0.12244458,-1.5643332830319803,268.6666666666667,-1.8429999351501465
7000,2.1827283,-0.14200109,-1.2824999587610364,220.0,-1.3062499314546585
7500,2.183123,-0.14602968,-1.2729999590665102,224.5,-1.1684999664624531
8000,2.1834288,-0.14574367,-1.7574999434873462,327.0,-1.7574999034404755
8500,2.1766217,-0.14728434,-1.9284999379888177,349.5,-1.8904999494552612
9000,2.1557362,-0.16285062,-1.6244999477639794,313.0,-1.7954999059438705
9500,2.1558437,-0.16863684,-1.4012499549426138,271.5,-1.4012499451637268
10000,2.1555343,-0.1659264,-2.2989999260753393,460.0,-2.2990000247955322
10500,2.157244,-0.16449541,-1.315749957691878,250.5,-1.3157499879598618
11000,2.1220047,-0.17751399,-1.5912499488331378,348.0,-2.1279999017715454
11500,2.1249173,-0.148305,-1.1304999636486173,251.0,-1.0925000039860606
12000,2.123227,-0.18521398,-1.3917499552480876,315.5,-1.3917499780654907
12500,2.1203952,-0.18658835,-1.6149999480694532,344.0,-1.6149999499320984
13000,2.086671,-0.19308336,-1.7907499424181879,417.5,-1.6719998717308044
13500,2.076688,-0.21253929,-1.7384999440982938,413.0,-1.909500002861023
14000,2.0789247,-0.21540141,None,None,-1.738499939441681
14500,2.0767498,-0.20397995,-2.2039999291300774,531.0,-2.2039998918771744
15000,2.0459027,-0.19294949,-2.0187499350868165,497.0,-2.0995000451803207
15500,2.0216134,-0.23606384,-1.5484999502077699,434.0,-1.7432499527931213
16000,2.01483,-0.23292087,-1.510499951429665,438.0,-1.5104999542236328
16500,2.0148106,-0.22681485,-1.5959999486804008,436.0,-1.5959999561309814
