Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
500,2.197212,0.015518734,-2.9446665719151497,462.0,-2.9446665048599243
1000,2.1972122,0.015130188,-2.6311665819957852,429.0,-2.631166458129883
1500,2.1972127,0.015259953,-4.01816653739661,636.0,None
2000,2.197212,0.016487079,-2.7831665771082044,450.0,-3.4006665349006653
2500,2.197029,-0.014543586,-3.1916665639728308,508.0,-3.1916664466261864
3000,2.1970294,-0.047595933,-2.479166586883366,382.0,-2.479166567325592
3500,2.1970143,-0.047952745,-2.963666571304202,461.0,-2.963666558265686
4000,2.1970272,-0.046568573,-2.5076665859669447,415.0,-2.5076667070388794
4500,2.1966703,-0.048141945,-2.5836665835231543,412.5,-2.7261667251586914
5000,2.1954336,-0.097772464,-2.726166578941047,454.0,-2.4411665201187134
5500,2.1955557,-0.09699366,-2.232166594825685,368.0,-2.4791666865348816
6000,2.1955953,-0.08522665,-1.7524166102521122,279.0,-1.7524166069924831
6500,2.1955397,-0.09562755,-2.6976665798574686,435.0,-2.697666645050049
7000,2.1797144,-0.11299731,-2.764166577719152,477.0,-2.764166474342346
7500,2.1790998,-0.12750438,-2.175166596658528,414.0,-2.175166666507721
8000,2.178866,-0.12884043,-1.942416604142636,344.0,-2.241666555404663
8500,2.1799695,-0.12784585,-1.7049166117794812,300.5,-2.065916568040848
9000,2.165188,-0.1279117,-0.9306666366755962,163.0,-0.9259166717529297
9500,2.155012,-0.13797101,-2.5836665835231543,480.0,-2.5836665630340576
10000,2.1555815,-0.121519156,-1.4389166203327477,285.0,-1.438916614279151
10500,2.1542344,-0.13647407,-1.7096666116267443,318.0,-1.709666669368744
11000,2.1371102,-0.11611595,-2.222666595131159,417.5,-2.2226666850037873
11500,2.1212475,-0.15252584,-1.4911666186526418,332.0,-1.4911665320396423
12000,2.1193678,-0.153455,-1.7524166102521122,399.5,-1.548166573047638
12500,2.1200774,-0.15170336,-1.8616666067391634,426.0,-1.956666648387909
13000,2.1047697,-0.15430407,-1.9566666036844254,442.0,-1.9091665744781494
13500,2.0663893,-0.15298834,-1.9661666033789515,536.0,None
14000,2.0742931,-0.15441893,-1.79516660887748,441.0,-1.8806666284799576
14500,2.0711846,-0.15909487,-1.7761666094884276,496.0,-1.7761666774749756
15000,2.0704386,-0.1470719,-1.9946666024625301,489.0,-1.9946665167808533
15500,2.016967,-0.15577932,-1.6146666146814823,403.0,-1.6146666407585144
16000,2.0172052,-0.16561893,-1.3961666217073798,433.0,-1.3961666822433472
16500,2.0164955,-0.16545618,-1.5909166154451668,420.0,-1.5291666388511658
17000,2.0169337,-0.16353212,-1.700166611932218,460.0,-1.652666687965393
17500,1.999353,-0.16467282,-1.4341666204854846,399.0,-1.7001665830612183
18000,1.975301,-0.17015216,-0.8261666400358081,237.0,-1.1301665902137756
18500,1.9678619,-0.16874345,-1.1206666305661201,356.0,-1.1206666231155396
19000,1.9692028,-0.17129165,-1.5671666162088513,505.0,-1.5671666078269482
19500,1.9382538,-0.14826576,-1.6811666125431657,500.0,-1.6811665706336498
20000,1.9134425,-0.17530733,-1.3676666226238012,467.0,-1.3676666021347046
20500,1.9126772,-0.17760962,-1.2536666262894869,427.0,-1.253666639328003
21000,1.9128036,-0.1734933,-1.4246666207909584,480.0,-1.4246666431427002
21500,1.9033934,-0.17526697,-1.9661666033789515,713.0,None
22000,1.8630568,-0.17449757,None,None,-1.966166615486145
22500,1.8647466,-0.18226345,-1.1824166285805404,478.5,-1.3771666660904884
23000,1.8671118,-0.17682137,-0.9591666357591748,406.0,-0.9734166413545609
23500,1.8635184,-0.17880623,-1.4721666192635894,521.0,-1.4721666350960732
24000,1.8229325,-0.18759215,-0.6836666446179152,334.0,-0.6836666315793991
24500,1.8186809,-0.18869002,-1.0304166334681213,399.5,-1.0826666355133057
25000,1.8206805,-0.18710157,-0.8261666400358081,441.0,-0.9781666398048401
25500,1.8234911,-0.18601067,-0.8831666382029653,360.0,-0.8546666651964188
26000,1.795617,-0.18852425,-0.9591666357591748,445.0,-0.9591666758060455
26500,1.7726992,-0.18467183,-1.3391666235402226,622.0,-1.3391666561365128
27000,1.7857748,-0.18433684,-0.7311666430905461,300.0,-0.7311666384339333
27500,1.7738498,-0.1850986,-1.263166625984013,600.0,-1.2631666511297226
28000,1.7783475,-0.18465792,-0.9401666363701224,432.0,-0.9401666224002838
28500,1.7250235,-0.18510006,-0.6931666443124413,355.0,-0.5981666296720505
29000,1.7245685,-0.18882951,None,None,-0.7881666421890259
29500,1.7222017,-0.1892031,-1.0399166331626475,527.5,-1.3011666238307953
30000,1.7269818,-0.18639605,-0.7881666412577033,483.0,-0.7786666452884674
30500,1.6833421,-0.18847069,-0.9021666375920177,497.0,-0.7881666421890259
31000,1.6786362,-0.1973553,None,None,-0.9021666049957275
31500,1.677426,-0.19872986,-0.9116666372865438,631.0,-0.9116666615009308
32000,1.688498,-0.19150513,-0.7881666412577033,565.0,-0.7881666421890259
32500,1.6412069,-0.19923837,-0.8451666394248605,446.0,-0.8451666533946991
33000,1.6393325,-0.19416702,-0.9021666375920177,594.0,-0.9021666347980499
33500,1.6306545,-0.19809258,-0.6171666467562318,378.0,-0.6171666383743286
34000,1.6353751,-0.19381407,-1.0066666342318058,683.0,-1.0066666305065155
34500,1.6097307,-0.19632453,-0.8356666397303343,462.0,-0.8356666266918182
35000,1.5897814,-0.19711204,-0.5886666476726532,463.0,-0.5886666774749756
35500,1.5871607,-0.19534115,-0.7686666418449022,579.0,-0.7686666548252106
36000,1.5740932,-0.19865164,-0.6836666446179152,595.0,None
36500,1.5866573,-0.1892437,None,None,-0.6836666241288185
37000,1.5465524,-0.201236,-1.016166633926332,718.0,-1.016166627407074
37500,1.5542747,-0.19475868,-0.6646666452288628,676.0,-0.664666622877121
38000,1.5374533,-0.19532561,-0.7216666433960199,597.0,None
38500,1.5501411,-0.19177207,None,None,-0.7216666415333748
39000,1.5182,-0.18832962,-0.8451666394248605,844.0,-0.8451666235923767
39500,1.5206378,-0.18903664,-0.6076666470617056,457.0,-0.6076666712760925
40000,1.5185609,-0.1840386,-0.549666648847051,561.0,-0.5496666580438614
40500,1.517965,-0.18855482,-0.5786666479543783,535.0,-0.5786666572093964
41000,1.4882848,-0.18997756,-0.5506666488945484,472.0,-0.5506666600704193
41500,1.4721521,-0.18045631,None,None,None
42000,1.4880161,-0.18419874,-0.6631666451576166,794.0,-0.6631666347384453
42500,1.4735649,-0.1812317,-0.8156666402937844,825.0,None
43000,1.4699999,-0.18870828,None,None,-0.8156666085124016
43500,1.4570715,-0.17736964,-0.6361666461452842,542.0,-0.6361666768789291
44000,1.4525201,-0.1857384,-0.5691666482598521,657.0,-0.5691666454076767
44500,1.4390457,-0.1874069,-0.539666649128776,830.0,None
45000,1.439167,-0.18916917,None,None,-0.5396666526794434
45500,1.4078212,-0.18792365,None,None,None
46000,1.4235905,-0.17993073,-0.8166666403412819,1011.0,-0.8166665993630886
46500,1.421231,-0.18573473,-0.6731666448758915,887.0,-0.6731666624546051
47000,1.3947561,-0.17879209,None,None,None
47500,1.4106659,-0.17902541,-0.6826666446286254,809.0,-0.6826666668057442
48000,1.3808329,-0.17768648,None,None,None
48500,1.3925409,-0.18181215,-0.7011666439357214,1124.0,-0.7011666521430016
49000,1.3799632,-0.18754506,None,None,None
49500,1.3720622,-0.1845969,-0.6046666469192132,1036.0,-0.6046666353940964
50000,1.3585308,-0.18040809,None,None,None
50500,1.3756515,-0.18302006,-0.5001666502794251,945.0,-0.500166654586792
51000,1.3582109,-0.17386112,None,None,None
51500,1.3460678,-0.19175312,None,None,None
52000,1.351579,-0.16752835,-0.6611666450626217,1267.0,-0.661166662350297
52500,1.3352716,-0.18266934,None,None,None
53000,1.3579942,-0.17167711,-0.4711666511720978,1147.0,-0.4711666665971279
53500,1.335296,-0.16730559,None,None,None
54000,1.349255,-0.20429897,-0.4911666506668553,1164.0,-0.49116666056215763
54500,1.3386309,-0.16014428,None,None,None
55000,1.3526862,-0.16334048,-0.5771666478831321,976.0,-0.5771666169166565
55500,1.3389648,-0.15430576,None,None,None
56000,1.36519,-0.15257147,-0.6151666466612369,975.0,-0.615166649222374
56500,1.3503207,-0.16431138,None,None,None
57000,1.3498597,-0.15878868,-0.5851666475646198,1136.0,None
57500,1.366612,-0.17584607,None,None,-0.5851666256785393
58000,1.349758,-0.15637468,None,None,None
58500,1.3642987,-0.14949241,-0.5081666499609128,1230.0,-0.5081666484475136
59000,1.3486356,-0.15695941,None,None,None
59500,1.3635406,-0.15156995,-0.5676666481886059,967.0,-0.5676666498184204
60000,1.3488243,-0.14981444,None,None,None
60500,1.3569722,-0.15079232,-0.6126666465424933,1239.0,None
61000,1.3696069,-0.14725621,None,None,-0.6126666516065598
61500,1.3569604,-0.13922693,None,None,None
62000,1.3660082,-0.14892456,-0.5756666478118859,1209.0,-0.575666643679142
62500,1.3524466,-0.15889296,None,None,None
63000,1.3682874,-0.1551393,-0.5561666483990848,1167.0,-0.5561666563153267
63500,1.353225,-0.14313826,None,None,None
64000,1.3534493,-0.1332457,-0.6141666466137394,1115.0,None
64500,1.3713715,-0.14044675,None,None,-0.614166647195816
65000,1.3609556,-0.13355862,-0.5776666479068808,994.0,None
65500,1.3757141,-0.14288932,None,None,-0.5776666402816772
66000,1.3612094,-0.13698095,None,None,None
66500,1.3781548,-0.17159255,-0.5841666474589147,1309.0,-0.5841666422784328
67000,1.3747376,-0.11590004,None,None,None
67500,1.3860354,-0.12211444,-0.6056666469667107,1073.0,-0.6056666374206543
68000,1.3747305,-0.11274777,None,None,None
68500,1.378495,-0.116277866,-0.7396666427375749,800.0,-0.7396666333079338
69000,1.3615148,-0.1092964,-0.6816666445229203,976.0,None
69500,1.3744714,-0.118021145,None,None,-0.6816666275262833
70000,1.3614794,-0.111028284,-0.4426666520885192,977.0,None
70500,1.3748419,-0.116591744,None,None,-0.4426666647195816
71000,1.3537947,-0.107920885,None,None,None
71500,1.3687133,-0.12121917,-0.4696666511008516,1231.0,-0.46966665238142014
72000,1.3544358,-0.10280515,None,None,None
72500,1.3659433,-0.1045304,-0.5286666493630037,1027.0,-0.5286666490137577
73000,1.3497522,-0.09479284,None,None,None
73500,1.3490419,-0.093194015,-0.642666645697318,1229.0,None
74000,1.3640156,-0.09193216,None,None,-0.6426666378974915
74500,1.3492773,-0.09268461,None,None,None
75000,1.3481866,-0.091801174,-0.6526666454155929,1183.0,-0.6526666507124901
75500,1.3257368,-0.08531587,None,None,None
76000,1.3260044,-0.082149014,None,None,None
76500,1.3355607,-0.084540814,-0.6801666445098817,1320.0,-0.6801666375249624
77000,1.3145361,-0.08617066,None,None,None
77500,1.3165728,-0.07946193,-0.5856666475301608,1249.0,-0.5856666453182697
78000,1.3041211,-0.075393535,None,None,None
78500,1.3040725,-0.07672114,None,None,None
79000,1.3085583,-0.07533447,-0.4106666528386995,1506.0,-0.41066665295511484
79500,1.2855855,-0.06473573,None,None,None
80000,1.2853665,-0.064657226,-0.385666653921362,1074.0,None
80500,1.2972358,-0.06681198,None,None,-0.38566666655242443
81000,1.2854822,-0.06462236,None,None,None
81500,1.2779806,-0.058688294,-0.38366665388457477,1245.0,-0.3836666662245989
82000,1.2660877,-0.051542632,None,None,None
82500,1.2659993,-0.051529285,None,None,None
83000,1.2662804,-0.05230058,None,None,None
83500,1.2584947,-0.04914247,-0.4696666512172669,1800.0,-0.469666650518775
84000,1.2454575,-0.029133392,None,None,None
84500,1.2455423,-0.0380525,None,None,None
85000,1.2602646,-0.039424077,-0.3336666552349925,1669.0,-0.33366666198708117
85500,1.2385243,-0.03815843,None,None,None
86000,1.2314912,-0.020978991,None,None,None
86500,1.2316025,-0.026546782,None,None,None
87000,1.2433163,-0.01884107,-0.3311666551162489,1954.0,-0.33116665959823877
87500,1.2315755,-0.015782593,None,None,None
88000,1.2190582,-0.011444985,None,None,None
88500,1.2190078,0.00040463335,None,None,None
89000,1.2186824,-0.005776154,-0.3336666553514078,2236.0,None
89500,1.2292525,0.0003575883,None,None,-0.33366665802896023
90000,1.2118806,0.0035566944,None,None,None
90500,1.2045358,0.015081206,None,None,None
91000,1.2043914,0.028161902,None,None,None
91500,1.2122155,0.025247877,-0.3151666561025195,2483.0,-0.3151666559278965
92000,1.1989776,0.019567635,None,None,None
92500,1.1933014,0.043307997,None,None,None
93000,1.1932862,0.046622485,None,None,None
93500,1.1932789,0.049862932,None,None,None
94000,1.1932415,0.053248905,None,None,None
94500,1.1816936,0.03199414,-0.2941666567348875,3079.0,None
95000,1.19418,0.04054611,None,None,-0.29416665830649436
95500,1.1818492,0.0419645,None,None,None
96000,1.1817569,0.04187148,None,None,None
96500,1.17554,0.057997942,None,None,None
97000,1.1691825,0.061107382,None,None,None
97500,1.168942,0.080781825,None,None,None
98000,1.1693982,0.0691986,None,None,None
98500,1.175843,0.06820596,-0.21966665831860155,3510.0,-0.21966666809748858
99000,1.1602751,0.08218442,None,None,None
99500,1.1600428,0.07751256,None,None,None
100000,1.1604158,0.08111503,None,None,None
100500,1.1601101,0.06557417,None,None,None
101000,1.1547275,0.11284372,None,None,None
101500,1.1548663,0.09840685,None,None,None
102000,1.154833,0.09312458,None,None,None
102500,1.1547995,0.09770809,None,None,None
103000,1.151701,0.10862906,None,None,None
103500,1.1483439,0.12193732,None,None,None
104000,1.1585101,0.109091304,-0.3896666541695595,5586.0,-0.3896666555083357
104500,1.1485994,0.12547012,None,None,None
105000,1.1460227,0.11235759,None,None,None
105500,1.1434463,0.124235705,None,None,None
106000,1.1433287,0.12779957,None,None,None
106500,1.1435943,0.113543555,None,None,None
107000,1.1436907,0.10893378,None,None,None
107500,1.1396673,0.12530604,None,None,None
108000,1.1397661,0.13157123,None,None,None
108500,1.1398196,0.12296794,None,None,None
109000,1.1398134,0.12543787,None,None,None
109500,1.1368073,0.13805106,None,None,None
110000,1.1337295,0.13746732,None,None,None
110500,1.1338601,0.13537183,None,None,None
111000,1.1337018,0.14096572,None,None,None
111500,1.1336575,0.1381702,-0.4601666528615169,7766.0,None
112000,1.1380969,0.12822658,None,None,-0.46016665175557137
112500,1.1298661,0.13663474,None,None,None
113000,1.1297883,0.1385405,None,None,None
113500,1.1299131,0.1371198,None,None,None
114000,1.1273899,0.13645136,None,None,None
114500,1.1247226,0.13813062,None,None,None
115000,1.1247456,0.1376466,None,None,None
115500,1.1247735,0.14333832,None,None,None
116000,1.1247451,0.14160317,None,None,None
116500,1.1222479,0.14105001,None,None,None
117000,1.1222302,0.14138794,None,None,None
117500,1.122276,0.14545637,None,None,None
118000,1.1222953,0.13607162,None,None,None
118500,1.1209161,0.14416441,None,None,None
119000,1.1192951,0.13478804,None,None,None
119500,1.1193413,0.13342366,None,None,None
120000,1.1192832,0.13138252,None,None,None
120500,1.1194239,0.12835956,None,None,None
121000,1.1168733,0.12989624,None,None,None
121500,1.1168555,0.12734136,None,None,None
122000,1.1168687,0.1308611,None,None,None
122500,1.1236717,0.13004173,-0.5489999856217764,10840.0,-0.5489999821875244
123000,1.1148081,0.122065574,None,None,None
123500,1.1148078,0.114920095,None,None,None
124000,1.1148095,0.114920095,None,None,None
124500,1.114886,0.11623366,None,None,None
125000,1.113653,0.11914207,None,None,None
125500,1.1124848,0.113026984,None,None,None
126000,1.1125373,0.10825415,None,None,None
126500,1.1124372,0.112213746,None,None,None
127000,1.1124998,0.1082571,None,None,None
127500,1.1113079,0.10866088,None,None,None
128000,1.1112142,0.09797081,None,None,None
128500,1.1112354,0.104499966,None,None,None
129000,1.1113527,0.09810515,None,None,None
129500,1.111818,0.098778404,None,None,None
130000,1.1123492,0.08766004,None,None,None
130500,1.1123475,0.08766004,None,None,None
131000,1.1123862,0.08766004,None,None,None
131500,1.112435,0.095391646,None,None,None
132000,1.1117827,0.084307745,None,None,None
132500,1.1117638,0.07500204,None,None,None
133000,1.111761,0.07500204,None,None,None
133500,1.111852,0.081575975,-0.6349999841186218,11071.0,None
134000,1.1205328,0.086730555,None,None,-0.6349999794620089
134500,1.1139421,0.059705798,None,None,None
135000,1.114029,0.0663821,None,None,None
135500,1.1139474,0.060922407,None,None,None
136000,1.1139575,0.061644606,None,None,None
136500,1.1196516,0.057463825,None,None,None
137000,1.1196858,0.049482346,None,None,None
137500,1.1196494,0.05584669,None,None,None
138000,1.1196958,0.04732971,None,None,None
138500,1.1198618,0.045734424,None,None,None
139000,1.1200442,0.033737063,None,None,None
139500,1.1201146,0.03729765,None,None,None
140000,1.1200755,0.038182773,None,None,None
140500,1.120189,0.04763182,None,None,None
141000,1.1206605,0.04502059,None,None,None
141500,1.1206644,0.033678174,None,None,None
142000,1.1206805,0.0403064,None,None,None
142500,1.1206768,0.022847243,None,None,None
143000,1.1222517,0.036219463,None,None,None
143500,1.1238616,0.022815509,None,None,None
144000,1.1238177,0.016950293,None,None,None
144500,1.1238173,0.01947786,-0.6099999840371311,10956.0,None
145000,1.1310734,0.029706346,None,None,-0.6099999819416553
145500,1.1271331,0.015762404,None,None,None
146000,1.1271623,0.023884822,None,None,None
146500,1.127229,0.01674044,None,None,None
147000,1.1271307,0.019424792,None,None,None
147500,1.1287588,0.017145678,None,None,None
148000,1.130369,-0.0046897386,None,None,None
148500,1.130383,0.009515662,None,None,None
149000,1.1304046,0.0046790196,None,None,None
149500,1.1303997,0.014513846,None,None,None
150000,1.1328341,0.00875769,None,None,None
150500,1.1328574,-0.005992467,None,None,None
151000,1.1327876,0.0031778456,None,None,None
151500,1.1328335,-0.009447204,None,None,None
152000,1.1334065,0.0030539574,None,None,None
152500,1.1340163,0.00022694189,None,None,None
153000,1.1340039,-0.012062039,None,None,None
153500,1.1339834,-0.01056304,None,None,None
154000,1.1340666,0.008094532,None,None,None
154500,1.1395736,-0.012741424,None,None,None
155000,1.1461651,-0.019624585,-0.5641666512237862,10339.0,-0.5641666481387801
155500,1.1396377,-0.008743069,None,None,None
156000,1.1395788,-0.0008600559,None,None,None
156500,1.1450197,-0.014494736,None,None,None
157000,1.1450686,-0.014185264,None,None,None
157500,1.1450411,-0.019992711,None,None,None
158000,1.1450559,-0.015219636,None,None,None
158500,1.1474344,-0.021512076,None,None,None
159000,1.1497937,-0.01840682,None,None,None
159500,1.1496971,-0.015919406,None,None,None
160000,1.1497483,-0.0021377036,None,None,None
160500,1.1498117,-0.013357518,-0.45466665300773457,5602.0,None
161000,1.1636642,-0.011545502,None,None,-0.45466665097046643
161500,1.1543677,-0.021169452,None,None,None
162000,1.1543083,-0.021720763,None,None,None
162500,1.154312,-0.018777277,None,None,None
163000,1.1569238,-0.0074181687,None,None,None
163500,1.1593996,-0.016071517,None,None,None
164000,1.1594601,-0.0019222866,None,None,None
164500,1.1595699,-0.0018994785,None,None,None
165000,1.1596531,-0.02322493,None,None,None
165500,1.1648144,-0.02501184,None,None,None
166000,1.1746997,-0.00498635,-0.3731666549574584,5275.0,-0.37316664622630924
166500,1.1647401,-0.020263195,None,None,None
167000,1.1646484,-0.01116633,None,None,None
167500,1.1716325,-0.0135439,None,None,None
168000,1.1718591,-0.029705813,None,None,None
168500,1.1713891,-0.012519341,None,None,None
169000,1.1718618,-0.01946371,None,None,None
169500,1.1752397,-0.01987217,None,None,None
170000,1.1873859,-0.016346546,-0.3206666557234712,4005.0,-0.3206666571786627
170500,1.1789665,-0.021398209,None,None,None
171000,1.1784004,-0.027653988,None,None,None
171500,1.182243,-0.021761172,None,None,None
172000,1.185241,-0.035607856,None,None,None
172500,1.1851724,-0.021004833,None,None,None
173000,1.1957433,-0.014154203,-0.3416666551493108,2984.0,-0.341666667140089
173500,1.1854316,-0.025542937,None,None,None
