Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10,2.196497,0.14107782,-1.0,6.0,-1.0
20,2.1964693,0.1363861,-1.0,6.0,-1.0
30,2.1964738,0.05935077,-1.0,6.0,-1.0
40,2.1965456,0.06444946,-1.0,6.0,-1.0
50,2.1965137,0.17962067,-1.0,6.0,-1.0
60,2.1965277,0.12804198,-1.0,6.0,-1.0
70,2.196524,0.07233956,-1.0,6.0,-1.0
80,2.1964688,0.09982614,-1.0,6.0,-1.0
90,2.1964798,0.16917185,-1.0,6.0,-1.0
100,2.196497,0.10307244,-1.0,6.0,-1.0
110,2.1965578,0.079614885,-1.0,6.0,-1.0
120,2.1965394,0.13685468,-1.0,6.0,-1.0
130,2.1965113,0.16122986,-1.0,6.0,-1.0
140,2.1964762,0.14136314,-1.0,6.0,-1.0
150,2.1964953,-0.020968772,-1.0,6.0,-1.0
160,2.196408,0.09728196,-1.0,6.0,-1.0
170,2.1964898,0.1460646,-1.0,6.0,-1.0
180,2.1964936,0.06541448,-1.0,6.0,-1.0
190,2.1965694,0.08541674,-1.0,6.0,-1.0
200,2.196536,0.13414723,-1.0,6.0,-1.0
210,2.1965303,0.18081124,-1.0,6.0,-1.0
220,2.1965587,0.14631635,-1.0,6.0,-1.0
230,2.1965346,0.08772997,-1.0,6.0,-1.0
240,2.1965244,0.12698963,-1.0,6.0,-1.0
250,2.1965358,0.17907505,-1.0,6.0,-1.0
260,2.1965356,0.136948,-1.0,6.0,-1.0
270,2.1965408,0.09295329,-1.0,6.0,-1.0
280,2.1964679,0.11455552,-1.0,6.0,-1.0
290,2.1964014,0.030459277,-1.0,6.0,-1.0
300,2.1964943,0.124857575,-1.0,6.0,-1.0
310,2.1965292,0.07329609,-1.0,6.0,-1.0
320,2.1964076,0.09695016,-1.0,6.0,-1.0
330,2.1964447,0.117425226,-1.0,6.0,-1.0
340,2.196497,0.05867947,-1.0,6.0,-1.0
350,2.1965163,0.08876354,-1.0,6.0,-1.0
360,2.1965652,0.13966028,-1.0,6.0,-1.0
