Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
700,1.7907,0.051927403,0.0,698.0
1400,1.7907451,0.05777566,0.0,698.0
2100,1.7907462,0.06423299,0.0,698.0
2800,1.7907629,0.061383467,0.0,698.0
3500,1.7907624,0.061246343,0.0,698.0
4200,1.7907605,0.061242122,0.0,698.0
4900,1.7908307,0.058391944,0.0,698.0
5600,1.7908293,0.055871397,0.0,698.0
6300,1.7908275,0.05646447,0.0,698.0
7000,1.7908558,0.052248232,0.0,698.0
7700,1.7908581,0.04769215,0.0,698.0
8400,1.7908579,0.047606282,0.0,698.0
9100,1.7908641,0.04411766,0.0,698.0
9800,1.7908788,0.038544856,0.0,698.0
10500,1.7908652,0.038566854,0.0,698.0
11200,1.7908841,0.035447277,0.0,698.0
11900,1.7908853,0.029604923,0.0,698.0
12600,1.7908895,0.030971475,0.0,698.0
13300,1.7908286,0.025025403,0.0,698.0
14000,1.790832,0.016122665,0.0,698.0
14700,1.7908497,0.0148645025,0.0,698.0
15400,1.790823,0.012946214,0.0,698.0
16100,1.7908168,0.0056213737,0.0,698.0
16800,1.7908137,0.0014542529,0.0,698.0
17500,1.7908237,-0.026722224,0.0,698.0
18200,1.7908237,-0.027161479,0.0,698.0
18900,1.7908262,-0.029238805,0.0,698.0
19600,1.7907997,-0.03353456,0.0,698.0
20300,1.7907927,-0.046773612,0.0,698.0
21000,1.7907972,-0.07471221,0.0,698.0
21700,1.7907655,-0.06534347,0.0,698.0
22400,1.7907659,-0.10426798,0.0,698.0
23100,1.7907684,-0.0967215,0.0,698.0
23800,1.7907741,-0.12420784,0.0,698.0
24500,1.7907916,-0.13722786,0.0,698.0
25200,1.7907802,-0.11117511,0.0,698.0
25900,1.7907372,-0.13949083,0.0,698.0
26600,1.790739,-0.19378735,-1.0,580.0
27300,1.7907374,-0.16116923,0.0,698.0
28000,1.7907081,-0.18105233,0.0,698.0
28700,1.7907084,-0.21560887,0.0,698.0
29400,1.7907076,-0.20630403,0.0,698.0
30100,1.7907436,-0.25768176,0.0,698.0
30800,1.7907435,-0.26594734,0.0,698.0
31500,1.7907465,-0.24689382,0.0,698.0
32200,1.790775,-0.2767592,0.0,698.0
32900,1.7907757,-0.30884367,0.0,698.0
33600,1.7907759,-0.30411947,0.0,698.0
34300,1.7907459,-0.32111815,0.0,698.0
35000,1.7907443,-0.34141433,0.0,698.0
35700,1.7907461,-0.34093258,0.0,698.0
36400,1.7907503,-0.34090766,0.0,698.0
37100,1.7907526,-0.3409203,0.0,698.0
37800,1.7907534,-0.34348968,0.0,698.0
38500,1.7907394,-0.33587846,0.0,698.0
39200,1.7907363,-0.33488455,0.0,698.0
39900,1.7907405,-0.33909816,0.0,698.0
40600,1.79074,-0.33617014,0.0,698.0
41300,1.7907398,-0.33322173,0.0,698.0
42000,1.7907386,-0.32509345,0.0,698.0
42700,1.7908604,-0.31408143,0.0,698.0
43400,1.7908686,-0.31037462,0.0,698.0
44100,1.7908788,-0.31705973,0.0,698.0
44800,1.7909683,-0.31664672,0.0,698.0
45500,1.790956,-0.30366337,0.0,698.0
46200,1.7909532,-0.292301,0.0,698.0
46900,1.7909628,-0.28189075,0.0,698.0
47600,1.790966,-0.2803803,0.0,698.0
48300,1.790968,-0.28591585,0.0,698.0
49000,1.7909902,-0.26116952,0.0,698.0
49700,1.790994,-0.25244802,0.0,698.0
50400,1.7909948,-0.25548658,0.0,698.0
51100,1.7909725,-0.25118023,0.0,698.0
51800,1.7909749,-0.25265867,0.0,698.0
52500,1.7909669,-0.23471482,0.0,698.0
53200,1.7909638,-0.24421322,0.0,698.0
53900,1.7909657,-0.23330702,0.0,698.0
54600,1.7909653,-0.23523921,0.0,698.0
55300,1.7909957,-0.22889048,0.0,698.0
56000,1.7909925,-0.22278976,0.0,698.0
56700,1.7909912,-0.2231932,0.0,698.0
57400,1.7910194,-0.20637123,0.0,698.0
58100,1.7910265,-0.21154734,0.0,698.0
58800,1.7910231,-0.20454158,0.0,698.0
59500,1.791041,-0.20196058,0.0,698.0
60200,1.7910371,-0.20593746,0.0,698.0
60900,1.7909871,-0.20811702,-0.5,573.0
61600,1.7910265,-0.20963317,0.0,698.0
62300,1.7910278,-0.19828428,0.0,698.0
63000,1.7910132,-0.19544715,0.0,698.0
63700,1.7910216,-0.1893979,0.0,698.0
64400,1.7910141,-0.18732893,0.0,698.0
65100,1.791019,-0.18723106,0.0,698.0
65800,1.791024,-0.18718174,0.0,698.0
66500,1.7910229,-0.18581262,0.0,698.0
67200,1.7910262,-0.18592933,0.0,698.0
67900,1.7910172,-0.18490787,0.0,698.0
68600,1.7910163,-0.18448897,0.0,698.0
69300,1.7909987,-0.18224308,0.0,698.0
70000,1.7910261,-0.18092701,0.0,698.0
70700,1.791016,-0.18253355,0.0,698.0
71400,1.791011,-0.18008007,0.0,698.0
72100,1.7910032,-0.17960148,0.0,698.0
72800,1.7910115,-0.179712,0.0,698.0
73500,1.7909993,-0.17896304,0.0,698.0
74200,1.7910025,-0.17822973,0.0,698.0
74900,1.7910045,-0.18254673,0.0,698.0
75600,1.7910084,-0.18132205,0.0,698.0
76300,1.790988,-0.17832312,0.0,698.0
77000,1.7910106,-0.17633677,0.0,698.0
77700,1.7909968,-0.1781176,0.0,698.0
78400,1.7910442,-0.17559424,0.0,698.0
79100,1.791056,-0.17541781,0.0,698.0
79800,1.791047,-0.17656964,0.0,698.0
80500,1.7910633,-0.17503671,0.0,698.0
81200,1.7910436,-0.17462024,0.0,698.0
81900,1.7910421,-0.17342135,0.0,698.0
82600,1.7910762,-0.17316695,0.0,698.0
83300,1.7910668,-0.17374665,0.0,698.0
84000,1.7910671,-0.17263345,0.0,698.0
84700,1.7910659,-0.17268017,0.0,698.0
85400,1.7910645,-0.17258626,0.0,698.0
86100,1.7910557,-0.17199227,0.0,698.0
86800,1.79101,-0.1710475,0.0,698.0
87500,1.7910118,-0.17059591,0.0,698.0
88200,1.791017,-0.17067875,0.0,698.0
88900,1.7910178,-0.17031744,0.0,698.0
89600,1.7910048,-0.16966309,0.0,698.0
90300,1.791016,-0.16928017,0.0,698.0
91000,1.790957,-0.16906255,0.0,698.0
91700,1.7909664,-0.16874388,0.0,698.0
92400,1.7909683,-0.16883983,0.0,698.0
93100,1.790988,-0.16828896,0.0,698.0
93800,1.7909874,-0.16764511,0.0,698.0
94500,1.79098,-0.1675381,0.0,698.0
95200,1.7909461,-0.1669014,0.0,698.0
95900,1.7909728,-0.16679633,0.0,698.0
96600,1.7909596,-0.16698179,0.0,698.0
97300,1.7909906,-0.166414,0.0,698.0
98000,1.7909665,-0.16619089,0.0,698.0
98700,1.7909732,-0.16578177,0.0,698.0
99400,1.7909124,-0.1654078,0.0,698.0
100100,1.7909256,-0.1650433,0.0,698.0
100800,1.7909257,-0.16520083,0.0,698.0
101500,1.7909386,-0.16470498,0.0,698.0
102200,1.7909498,-0.16425997,0.0,698.0
102900,1.7909468,-0.16436538,0.0,698.0
103600,1.7909654,-0.16394982,0.0,698.0
104300,1.7909551,-0.16354226,0.0,698.0
105000,1.7909551,-0.16337325,0.0,698.0
105700,1.7909608,-0.16293958,0.0,698.0
106400,1.7909745,-0.16250795,0.0,698.0
107100,1.7909812,-0.16258593,0.0,698.0
107800,1.7909241,-0.16218236,0.0,698.0
108500,1.7909204,-0.16167712,0.0,698.0
109200,1.7909335,-0.1616704,0.0,698.0
109900,1.7909042,-0.16130224,-1.0,665.0
110600,1.7908267,-0.16386235,0.0,698.0
111300,1.790904,-0.16208263,0.0,698.0
112000,1.7909151,-0.16071492,0.0,698.0
112700,1.7909261,-0.16038091,0.0,698.0
113400,1.7909144,-0.16033295,0.0,698.0
114100,1.7909038,-0.1601671,0.0,698.0
114800,1.7909201,-0.15971549,0.0,698.0
115500,1.7909057,-0.15971765,0.0,698.0
116200,1.7909199,-0.15921596,0.0,698.0
116900,1.7909038,-0.15894935,0.0,698.0
117600,1.7909199,-0.1588676,0.0,698.0
118300,1.7909021,-0.15844826,0.0,698.0
119000,1.7908924,-0.1581485,0.0,698.0
119700,1.7909045,-0.15812358,0.0,698.0
120400,1.7909197,-0.15758964,0.0,698.0
121100,1.790915,-0.15732726,0.0,698.0
121800,1.7909132,-0.1573188,0.0,698.0
122500,1.7908969,-0.15683636,0.0,698.0
123200,1.7908958,-0.15627593,0.0,698.0
123900,1.7908889,-0.15645415,0.0,698.0
124600,1.7909087,-0.15602195,0.0,698.0
125300,1.7909178,-0.15551469,0.0,698.0
126000,1.7909228,-0.1551019,0.0,698.0
126700,1.7909261,-0.15457691,0.0,698.0
127400,1.7909286,-0.1542854,0.0,698.0
128100,1.7909209,-0.15412179,0.0,698.0
128800,1.7909101,-0.15428889,0.0,698.0
129500,1.790919,-0.15374899,0.0,698.0
130200,1.7909242,-0.15361285,0.0,698.0
130900,1.7908814,-0.15287243,0.0,698.0
131600,1.7908869,-0.1529716,0.0,698.0
132300,1.7908872,-0.15244874,0.0,698.0
133000,1.7908362,-0.151779,0.0,698.0
133700,1.7908335,-0.1517701,0.0,698.0
134400,1.7908347,-0.15211952,0.0,698.0
135100,1.7907959,-0.15131065,0.0,698.0
135800,1.7907965,-0.15033627,0.0,698.0
136500,1.7907994,-0.15078196,0.0,698.0
137200,1.7907945,-0.14869417,0.0,698.0
137900,1.7907956,-0.14972259,0.0,698.0
138600,1.7907956,-0.15015599,0.0,698.0
139300,1.7907106,-0.14898567,0.0,698.0
140000,1.790728,-0.14957279,0.0,698.0
140700,1.7907041,-0.148603,0.0,698.0
141400,1.7907283,-0.14772521,-1.0,665.0
142100,1.7906698,-0.15001732,0.0,698.0
142800,1.7906917,-0.14713186,0.0,698.0
143500,1.7907057,-0.1457075,0.0,698.0
144200,1.7907096,-0.14695716,0.0,698.0
144900,1.7907034,-0.14558944,0.0,698.0
145600,1.7907269,-0.14574413,-1.0,648.0
146300,1.7906604,-0.14708583,0.0,698.0
147000,1.790705,-0.14427696,0.0,698.0
147700,1.7906698,-0.14313325,0.0,698.0
148400,1.7906812,-0.14068912,0.0,698.0
149100,1.7906663,-0.14074,0.0,698.0
149800,1.7907019,-0.13871801,0.0,698.0
150500,1.7906687,-0.14031899,0.0,698.0
151200,1.7906593,-0.13528061,0.0,698.0
151900,1.7907178,-0.1297773,0.0,698.0
152600,1.7907144,-0.13331124,0.0,698.0
153300,1.7907518,-0.13662156,0.0,698.0
154000,1.7907325,-0.13118121,0.0,698.0
154700,1.7907374,-0.12662388,0.0,698.0
155400,1.7907296,-0.12725814,0.0,698.0
156100,1.7907493,-0.12366049,0.0,698.0
156800,1.7907504,-0.13049075,-1.0,581.0
157500,1.7907802,-0.13580412,0.0,698.0
158200,1.7907511,-0.12728827,0.0,698.0
158900,1.7907394,-0.123748615,0.0,698.0
159600,1.7907542,-0.11175056,0.0,698.0
160300,1.7907579,-0.1267522,0.0,698.0
161000,1.7907583,-0.11692977,0.0,698.0
161700,1.790737,-0.1156565,0.0,698.0
162400,1.7907621,-0.11043226,0.0,698.0
163100,1.790759,-0.10665737,0.0,698.0
163800,1.7907561,-0.09556627,0.0,698.0
164500,1.7907559,-0.092569724,0.0,698.0
165200,1.7907767,-0.092416644,0.0,698.0
165900,1.7907572,-0.10458748,0.0,698.0
166600,1.7907429,-0.0877462,0.0,698.0
167300,1.7907213,-0.085922614,0.0,698.0
168000,1.7907268,-0.08256449,0.0,698.0
168700,1.7907227,-0.0865394,0.0,698.0
169400,1.790717,-0.09464007,-1.0,598.0
170100,1.7906896,-0.08031109,0.0,698.0
170800,1.7907304,-0.08016561,0.0,698.0
171500,1.790761,-0.0791256,0.0,698.0
172200,1.7907586,-0.0808865,0.0,698.0
172900,1.7907633,-0.0772787,0.0,698.0
173600,1.7907934,-0.0773149,0.0,698.0
174300,1.7907962,-0.08795213,0.0,698.0
175000,1.7907833,-0.07276252,0.0,698.0
175700,1.7908063,-0.07191147,0.0,698.0
176400,1.790813,-0.079000615,0.0,698.0
177100,1.7907889,-0.07058236,0.0,698.0
177800,1.7907802,-0.07042943,0.0,698.0
178500,1.7907711,-0.068228714,0.0,698.0
179200,1.7907861,-0.0684099,0.0,698.0
179900,1.7908028,-0.06776989,0.0,698.0
180600,1.7907959,-0.06753366,0.0,698.0
181300,1.7908157,-0.066679336,0.0,698.0
182000,1.7908288,-0.066838026,0.0,698.0
182700,1.7908297,-0.06600052,0.0,698.0
183400,1.7908179,-0.065534435,0.0,698.0
184100,1.790807,-0.064308025,0.0,698.0
184800,1.7908001,-0.06331496,0.0,698.0
185500,1.7907937,-0.06373462,0.0,698.0
186200,1.7907889,-0.0644626,0.0,698.0
186900,1.7907813,-0.06231279,0.0,698.0
187600,1.790793,-0.06409916,0.0,698.0
188300,1.7908032,-0.06405555,0.0,698.0
189000,1.7907892,-0.060367744,0.0,698.0
189700,1.7908026,-0.061661735,0.0,698.0
190400,1.7908021,-0.059102915,0.0,698.0
191100,1.7908025,-0.05902482,0.0,698.0
191800,1.7908188,-0.05955802,0.0,698.0
192500,1.7908282,-0.057747804,0.0,698.0
193200,1.7908274,-0.05787451,0.0,698.0
193900,1.7908373,-0.05775895,0.0,698.0
194600,1.7908472,-0.0571689,0.0,698.0
