Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
750,1.419773,-1.0,337.3333333333333,-0.66262925,-1.0
1500,1.4197237,-1.0,332.0,-0.5168144,-1.0
2250,1.4197237,-1.0,332.5,-0.5169695,-1.0
3000,1.4197234,-1.0,332.5,-0.5167536,-1.0
3750,1.4197235,-1.0,332.3333333333333,-0.51684624,-1.0
4500,1.4197237,-1.0,332.0,-0.51681554,-1.0
5250,1.4197237,-1.0,332.5,-0.5169695,-1.0
6000,1.4197234,-1.0,332.5,-0.5167536,-1.0
6750,1.4197208,-1.0,332.3333333333333,-0.51686525,-1.0
7500,1.4197237,-1.0,332.0,-0.5198009,-1.0
8250,1.4197237,-1.0,332.5,-0.5169695,-1.0
9000,1.4197234,-1.0,332.5,-0.5167536,-1.0
9750,1.4197235,-1.0,332.3333333333333,-0.51684624,-1.0
10500,1.4197237,-1.0,332.0,-0.51681554,-1.0
11250,1.4197237,-1.0,332.5,-0.51701164,-1.0
12000,1.4197234,-1.0,332.5,-0.51669586,-1.0
12750,1.4197235,-1.0,332.3333333333333,-0.51684624,-1.0
13500,1.4197237,-1.0,332.0,-0.51681554,-1.0
14250,1.4197234,-1.0,332.5,-0.5169695,-1.0
15000,1.4197234,-1.0,332.5,-0.5162504,-1.0
15750,1.4197235,-1.0,332.3333333333333,-0.51684624,-1.0
16500,1.4197237,-1.0,332.0,-0.51681554,-1.0
17250,1.4197237,-1.0,332.5,-0.5169695,-1.0
18000,1.4197234,-1.0,332.5,-0.5167536,-1.0
18750,1.4197236,-1.0,332.3333333333333,-0.51684624,-1.0
19500,1.419724,-1.0,332.0,-0.5170691,-1.0
20250,1.4197237,-1.0,332.5,-0.5169695,-1.0
21000,1.420153,-1.0,332.5,-0.5837569,-1.0
21750,1.4201422,-1.0,332.3333333333333,-0.6566829,-1.0
22500,1.4201528,-1.0,332.0,-0.65087616,-1.0
23250,1.4201533,-1.0,332.5,-0.6509697,-1.0
24000,1.4201528,-1.0,332.5,-0.65082073,-1.0
24750,1.420153,-1.0,332.3333333333333,-0.65079784,-1.0
25500,1.4201528,-1.0,332.0,-0.65087616,-1.0
26250,1.4201533,-1.0,332.5,-0.6509697,-1.0
27000,1.420153,-1.0,332.5,-0.65082073,-1.0
27750,1.420153,-1.0,332.3333333333333,-0.65088886,-1.0
28500,1.4201516,-1.0,332.0,-0.65067565,-1.0
29250,1.4201533,-1.0,332.5,-0.6509697,-1.0
30000,1.420153,-1.0,332.5,-0.65082073,-1.0
30750,1.420153,-1.0,332.3333333333333,-0.65088886,-1.0
31500,1.4201528,-1.0,332.0,-0.65087616,-1.0
32250,1.4201533,-1.0,332.5,-0.6509697,-1.0
33000,1.420153,-1.0,332.5,-0.65082073,-1.0
33750,1.4201529,-1.0,332.3333333333333,-0.6508542,-1.0
34500,1.4201528,-1.0,332.0,-0.65087616,-1.0
35250,1.420153,-1.0,332.5,-0.6509428,-1.0
36000,1.4201465,-1.0,332.5,-0.6481573,-1.0
36750,1.420153,-1.0,332.3333333333333,-0.650889,-1.0
37500,1.4201528,-1.0,332.0,-0.65087616,-1.0
38250,1.4201533,-1.0,332.5,-0.6509697,-1.0
39000,1.4201529,-1.0,332.5,-0.65082073,-1.0
39750,1.4201481,-1.0,332.3333333333333,-0.64962286,-1.0
40500,1.4201528,-1.0,332.0,-0.65087616,-1.0
41250,1.4201237,-1.0,332.5,-0.69274044,-1.0
42000,1.4201236,-1.0,332.5,-0.73421407,-1.0
42750,1.4201235,-1.0,332.3333333333333,-0.73433155,-1.0
43500,1.4201231,-1.0,332.0,-0.7344327,-1.0
44250,1.4201237,-1.0,332.5,-0.73434794,-1.0
45000,1.4201236,-1.0,332.5,-0.73421407,-1.0
45750,1.4201235,-1.0,332.3333333333333,-0.73433155,-1.0
46500,1.4201231,-1.0,332.0,-0.7344327,-1.0
47250,1.4201237,-1.0,332.5,-0.73434794,-1.0
48000,1.4201236,-1.0,332.5,-0.73421407,-1.0
48750,1.4201235,-1.0,332.3333333333333,-0.73433155,-1.0
49500,1.4201232,-1.0,332.0,-0.7344031,-1.0
50250,1.4201237,-1.0,332.5,-0.73434794,-1.0
51000,1.4201236,-1.0,332.5,-0.73421407,-1.0
51750,1.4201207,-1.0,332.3333333333333,-0.73213273,-1.0
52500,1.4201231,-1.0,332.0,-0.7344327,-1.0
53250,1.4201237,-1.0,332.5,-0.73434794,-1.0
54000,1.4201237,-1.0,332.5,-0.7342104,-1.0
54750,1.4201207,-1.0,332.3333333333333,-0.7331318,-1.0
55500,1.4201231,-1.0,332.0,-0.732677,-1.0
56250,1.4201237,-1.0,332.5,-0.73434794,-1.0
57000,1.4201236,-1.0,332.5,-0.73421407,-1.0
57750,1.4201235,-1.0,332.3333333333333,-0.73433155,-1.0
58500,1.4201231,-1.0,332.0,-0.7344327,-1.0
59250,1.4201237,-1.0,332.5,-0.7343669,-1.0
60000,1.4201236,-1.0,332.5,-0.73421407,-1.0
60750,1.4201221,-1.0,332.3333333333333,-0.7342045,-1.0
61500,1.4203296,-1.0,332.0,-0.7820351,-1.0
