Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
750,1.3854492,2.0,322.0,0.7051556,2.0
1500,1.3854439,2.0,313.5,0.6851991,2.0
2250,1.3854312,2.0,314.6666666666667,0.71130514,2.0
3000,1.3854132,2.0,322.5,0.6395744,2.0
3750,1.3854245,2.0,316.0,0.71917313,2.0
4500,1.3854383,2.0,311.0,0.66475207,2.0
5250,1.3854357,2.0,312.5,0.7208396,2.0
6000,1.3854266,2.0,323.0,0.67670536,2.0
6750,1.3854371,1.0,314.0,0.6951631,2.0
7500,1.3854156,2.0,323.5,0.7006237,0.5
8250,1.3854254,2.0,312.5,0.6992779,2.0
9000,1.3855228,2.0,313.6666666666667,0.60349536,2.0
9750,1.3854842,2.0,320.5,0.5852699,2.0
10500,1.3855766,2.0,326.5,0.5829456,2.0
11250,1.3854735,2.0,309.3333333333333,0.61421114,2.0
12000,1.3856578,2.0,309.5,0.5905169,2.0
12750,1.385554,2.0,317.6666666666667,0.62088984,2.0
13500,1.3855327,2.0,313.0,0.58853656,2.0
14250,1.3855132,2.0,316.5,0.5806745,2.0
15000,1.3854555,2.0,319.0,0.57296216,2.0
15750,1.3855803,2.0,308.5,0.58354497,2.0
16500,1.385056,2.0,318.0,0.62030965,2.0
17250,1.3844308,2.0,312.0,0.5415882,2.0
18000,1.3841085,2.0,312.0,0.5006649,2.0
18750,1.3840556,2.0,316.3333333333333,0.50145704,2.0
19500,1.3840977,2.0,314.0,0.5034032,2.0
20250,1.3840246,2.0,314.5,0.5028462,2.0
21000,1.3839779,2.0,318.0,0.5027481,2.0
21750,1.3840094,2.0,307.0,0.50346327,2.0
22500,1.3842005,2.0,321.0,0.5322696,2.0
23250,1.3841155,2.0,312.0,0.53679204,2.0
24000,1.3840487,2.0,310.0,0.5002583,2.0
24750,1.3833647,2.0,308.6666666666667,0.5258475,2.0
25500,1.3793354,2.0,310.5,0.5143002,2.0
26250,1.380133,2.0,321.5,0.520789,2.0
27000,1.3798622,2.0,318.0,0.51373386,2.0
27750,1.379276,2.0,311.0,0.48535773,2.0
28500,1.3792077,2.0,320.6666666666667,0.4826659,2.0
29250,1.3790641,2.0,321.0,0.4923485,2.0
30000,1.3793544,2.0,300.5,0.4861088,2.0
30750,1.3800201,2.0,304.3333333333333,0.5064475,2.0
31500,1.380082,2.0,320.0,0.48339438,2.0
32250,1.3798841,2.0,313.3333333333333,0.5358847,2.0
33000,1.3793603,2.0,312.5,0.48364633,2.0
33750,1.3774503,2.0,313.5,0.52031696,2.0
34500,1.3773555,2.0,315.0,0.488274,2.0
35250,1.3774467,2.0,319.5,0.4768965,2.0
36000,1.3774967,0.5,309.5,0.47951567,2.0
36750,1.3780831,2.0,313.0,0.5140814,1.0
37500,1.3775603,2.0,313.0,0.47973222,2.0
38250,1.3779314,2.0,322.0,0.51328176,2.0
39000,1.3775029,2.0,315.0,0.47998777,2.0
39750,1.3774303,2.0,320.5,0.47825897,2.0
40500,1.3774837,2.0,313.0,0.48346958,2.0
41250,1.3774358,2.0,314.0,0.48022807,2.0
42000,1.3773621,2.0,318.5,0.46269208,2.0
42750,1.3771793,2.0,320.3333333333333,0.4748255,2.0
43500,1.378226,2.0,312.5,0.51649344,2.0
44250,1.3781713,2.0,309.0,0.47087657,2.0
45000,1.3773358,2.0,309.0,0.4952719,2.0
45750,1.3783197,2.0,308.0,0.46907583,2.0
46500,1.377943,2.0,307.6666666666667,0.4931369,2.0
47250,1.3772503,2.0,315.0,0.51578796,2.0
48000,1.3774309,2.0,313.0,0.4706513,2.0
48750,1.3782576,2.0,307.0,0.46828824,2.0
49500,1.3774037,2.0,314.5,0.50918615,2.0
50250,1.3767905,2.0,310.3333333333333,0.47302893,2.0
51000,1.3773214,0.5,308.0,0.49128342,2.0
51750,1.3770751,2.0,310.3333333333333,0.4877608,1.0
52500,1.3768502,2.0,301.0,0.44250143,2.0
53250,1.3773111,2.0,315.5,0.48561087,2.0
54000,1.3767108,2.0,314.3333333333333,0.4467344,2.0
54750,1.3770374,2.0,315.5,0.4924028,2.0
55500,1.376933,2.0,311.6666666666667,0.48710537,2.0
56250,1.3771598,2.0,319.0,0.4883939,2.0
57000,1.376604,2.0,316.5,0.45802546,2.0
57750,1.3739501,2.0,311.0,0.47478965,2.0
58500,1.3700187,2.0,303.5,0.43220708,2.0
59250,1.3717152,2.0,315.3333333333333,0.45790878,2.0
60000,1.3700813,2.0,319.0,0.43330923,2.0
60750,1.3701245,2.0,308.0,0.44434783,2.0
61500,1.371657,2.0,312.6666666666667,0.45482364,2.0
62250,1.3699884,2.0,312.5,0.44370633,2.0
63000,1.3725101,2.0,312.5,0.43778732,2.0
63750,1.3699589,2.0,317.0,0.46608448,2.0
64500,1.3700804,2.0,311.5,0.4444273,2.0
65250,1.3701124,2.0,315.0,0.43688104,2.0
66000,1.3674314,2.0,322.5,0.43753454,2.0
66750,1.3673395,2.0,312.5,0.44794858,2.0
67500,1.367503,2.0,309.6666666666667,0.43704414,2.0
68250,1.3688318,2.0,315.5,0.47887957,2.0
69000,1.3685557,2.0,308.3333333333333,0.4398586,2.0
69750,1.3689362,2.0,321.0,0.47977626,2.0
70500,1.3675505,2.0,308.5,0.45917982,2.0
71250,1.3684701,2.0,311.3333333333333,0.4565793,2.0
72000,1.3675677,2.0,311.0,0.4398356,2.0
72750,1.3675122,2.0,304.6666666666667,0.4244566,2.0
73500,1.3690203,2.0,312.5,0.47246265,2.0
74250,1.3635175,2.0,316.0,0.4502808,2.0
75000,1.3636122,2.0,315.0,0.4508853,2.0
75750,1.3634652,2.0,325.0,0.45771658,2.0
76500,1.3634015,2.0,315.5,0.45409408,2.0
77250,1.3636878,2.0,315.3333333333333,0.45115772,2.0
78000,1.3635911,2.0,310.5,0.43850303,2.0
78750,1.3651247,2.0,315.6666666666667,0.4625567,2.0
79500,1.3636761,2.0,309.5,0.45579624,2.0
80250,1.3657062,2.0,313.0,0.44670108,2.0
81000,1.3636501,2.0,311.6666666666667,0.46696362,2.0
81750,1.3657687,2.0,310.0,0.44384703,2.0
82500,1.3687,2.0,309.0,0.47921845,2.0
83250,1.3675133,2.0,311.0,0.49339867,2.0
84000,1.367548,2.0,315.0,0.480901,2.0
84750,1.3685657,1.0,307.3333333333333,0.4754925,1.0
85500,1.3676066,2.0,312.0,0.49260014,2.0
86250,1.3677481,2.0,308.0,0.47909498,2.0
87000,1.369008,2.0,311.0,0.47920734,2.0
87750,1.3678234,2.0,312.5,0.5032108,2.0
88500,1.3687667,2.0,311.3333333333333,0.48828903,2.0
89250,1.3676294,2.0,316.5,0.47042438,2.0
90000,1.3677926,2.0,316.0,0.47579107,2.0
90750,1.3484105,2.0,314.0,0.47660726,2.0
91500,1.3483884,2.0,311.5,0.47570777,2.0
92250,1.3490926,2.0,307.0,0.50600463,2.0
93000,1.3496367,2.0,306.0,0.5032566,2.0
93750,1.3490022,2.0,310.3333333333333,0.51044935,2.0
94500,1.3483208,2.0,297.0,0.47959283,2.0
95250,1.3484397,2.0,300.0,0.47510782,2.0
96000,1.3483932,2.0,307.5,0.48618907,2.0
96750,1.3483765,2.0,308.5,0.47824144,2.0
97500,1.3491634,2.0,307.0,0.48335123,2.0
98250,1.3483936,2.0,305.5,0.4931018,2.0
99000,1.3430305,2.0,314.6666666666667,0.50974697,2.0
99750,1.3393792,2.0,303.5,0.47747242,2.0
100500,1.342284,2.0,310.0,0.5012232,2.0
101250,1.3392324,2.0,300.0,0.47138155,2.0
102000,1.3435609,2.0,313.5,0.48331267,2.0
102750,1.3420471,2.0,315.0,0.4995792,2.0
103500,1.3437456,2.0,311.0,0.55563766,2.0
104250,1.3393173,2.0,305.6666666666667,0.4749206,2.0
105000,1.3392866,2.0,314.0,0.4848059,2.0
105750,1.3390809,2.0,301.5,0.4757914,2.0
106500,1.3420053,2.0,312.0,0.5086831,2.0
107250,1.3411278,2.0,304.5,0.50997925,2.0
108000,1.3405915,2.0,310.3333333333333,0.48939702,2.0
108750,1.3343623,2.0,312.0,0.5034901,2.0
109500,1.3342128,2.0,303.0,0.46030942,2.0
110250,1.3387802,2.0,308.5,0.50247025,2.0
111000,1.3388623,2.0,306.0,0.50529134,2.0
111750,1.3376393,2.0,306.6666666666667,0.49087095,2.0
112500,1.3342308,2.0,301.0,0.46374175,2.0
113250,1.3340013,2.0,316.3333333333333,0.47881743,2.0
114000,1.3344178,2.0,306.0,0.46806723,2.0
114750,1.3372719,2.0,310.6666666666667,0.4936346,2.0
115500,1.3348737,2.0,311.5,0.4603721,2.0
116250,1.3397025,2.0,312.0,0.50265086,2.0
117000,1.3359967,2.0,304.3333333333333,0.45795175,2.0
117750,1.3400561,2.0,312.0,0.5003525,2.0
118500,1.3382592,2.0,308.6666666666667,0.48109397,2.0
119250,1.3397396,2.0,304.0,0.4991315,2.0
120000,1.3358047,2.0,315.5,0.46550128,2.0
120750,1.3358971,2.0,298.3333333333333,0.46073732,2.0
121500,1.3359411,2.0,306.0,0.46615052,2.0
122250,1.3383684,2.0,306.0,0.47865394,2.0
123000,1.3354942,2.0,302.5,0.4660043,2.0
123750,1.3408906,2.0,302.3333333333333,0.48586965,2.0
124500,1.3437378,2.0,305.0,0.4647261,2.0
125250,1.3432913,2.0,306.0,0.4723362,2.0
126000,1.3435624,2.0,304.5,0.48953784,2.0
126750,1.3429337,2.0,302.0,0.4698054,2.0
127500,1.3439484,2.0,307.0,0.4812752,2.0
128250,1.3436192,2.0,311.0,0.48057643,2.0
129000,1.3428212,2.0,314.0,0.48893106,2.0
129750,1.3431381,2.0,306.0,0.4490494,2.0
130500,1.3429778,2.0,298.6666666666667,0.45850006,2.0
131250,1.343528,2.0,307.0,0.46492982,2.0
132000,1.3346214,2.0,300.0,0.47203743,2.0
132750,1.318225,2.0,306.5,0.4442501,2.0
133500,1.3194824,2.0,305.0,0.4699583,2.0
134250,1.3205166,2.0,308.5,0.457653,2.0
135000,1.3181291,2.0,309.6666666666667,0.46060467,2.0
135750,1.3180357,2.0,309.0,0.4411199,2.0
136500,1.32075,2.0,306.0,0.47188425,2.0
137250,1.3197311,2.0,311.0,0.46432483,2.0
138000,1.3208994,2.0,304.5,0.47167772,2.0
138750,1.3197534,2.0,305.0,0.45272508,2.0
139500,1.3181772,2.0,297.5,0.4670372,2.0
140250,1.3253795,2.0,311.3333333333333,0.47165963,2.0
141000,1.335849,2.0,304.5,0.43798703,2.0
141750,1.3357571,2.0,306.0,0.43319103,2.0
142500,1.3355886,2.0,310.3333333333333,0.46570316,2.0
143250,1.3365046,2.0,304.0,0.46876132,2.0
144000,1.3357311,2.0,316.3333333333333,0.46061894,2.0
144750,1.3351166,2.0,308.5,0.44259888,2.0
145500,1.3357759,2.0,313.0,0.47433776,2.0
146250,1.3355829,2.0,309.6666666666667,0.43424857,2.0
147000,1.3357985,2.0,313.5,0.4423025,2.0
147750,1.3361089,2.0,304.6666666666667,0.45462063,2.0
148500,1.3354583,2.0,299.5,0.44310936,2.0
149250,1.3163918,2.0,303.3333333333333,0.45423308,2.0
150000,1.3142265,2.0,302.0,0.43201926,2.0
150750,1.3164936,2.0,310.0,0.45523742,2.0
151500,1.3172016,2.0,307.5,0.44344723,2.0
152250,1.3144566,2.0,297.3333333333333,0.4446623,2.0
153000,1.3143873,2.0,301.5,0.4287723,2.0
153750,1.3174642,2.0,306.0,0.44564342,2.0
154500,1.3164028,2.0,304.6666666666667,0.44896626,2.0
155250,1.3142225,2.0,301.0,0.449184,2.0
156000,1.3165941,2.0,303.6666666666667,0.44737732,2.0
156750,1.3175908,2.0,304.0,0.4448183,2.0
157500,1.3236084,2.0,309.3333333333333,0.44184974,2.0
158250,1.3232248,2.0,302.5,0.4595641,2.0
159000,1.3232251,2.0,299.0,0.44127676,2.0
159750,1.323078,2.0,302.0,0.43659663,2.0
160500,1.3238856,2.0,304.0,0.44900322,2.0
161250,1.3242463,2.0,313.0,0.461146,2.0
162000,1.3230114,2.0,305.5,0.4280616,2.0
162750,1.3234566,2.0,313.6666666666667,0.46558455,2.0
163500,1.3232023,2.0,315.5,0.4407835,2.0
164250,1.3232855,2.0,305.3333333333333,0.43259704,2.0
165000,1.323746,0.5,312.0,0.46085477,2.0
165750,1.3238426,2.0,305.3333333333333,0.45745102,1.0
166500,1.3228958,2.0,300.5,0.44510382,2.0
167250,1.3242298,2.0,310.5,0.45357746,2.0
168000,1.3242743,2.0,300.0,0.45180774,2.0
168750,1.3244342,2.0,310.0,0.44615424,2.0
169500,1.3231735,2.0,302.6666666666667,0.43885073,2.0
170250,1.3232722,2.0,299.0,0.43169463,2.0
171000,1.3232324,2.0,304.6666666666667,0.44056317,2.0
