Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
750,1.3859718,-0.21038702,0.0,747.0
1500,1.3860598,-0.121717006,0.0,747.0
2250,1.3860345,-0.090861015,0.0,747.0
3000,1.3860646,-0.10796785,0.0,747.0
3750,1.3860104,-0.09163893,0.0,747.0
4500,1.3860466,-0.09957486,0.0,747.0
5250,1.3860614,-0.09107852,0.0,747.0
6000,1.3860928,-0.103203,0.0,747.0
6750,1.3860772,-0.10166103,0.0,747.0
7500,1.3860534,-0.09516709,0.0,747.0
8250,1.3859568,-0.091101594,0.0,747.0
9000,1.3852799,-0.068145774,0.0,747.0
9750,1.3852732,-0.055408314,0.0,747.0
10500,1.3852895,-0.088932,2.013000093982555,606.0
11250,1.3852826,-0.077531904,0.0,747.0
12000,1.3852714,-0.08566321,0.0,747.0
12750,1.385274,-0.049930274,0.0,747.0
13500,1.3852822,-0.07036486,0.0,747.0
14250,1.3852781,-0.06843012,0.0,747.0
15000,1.3852721,-0.053335596,0.0,747.0
15750,1.3852701,-0.025080055,0.0,747.0
16500,1.3849233,-0.06795414,0.0,747.0
17250,1.3845543,-0.056833714,0.0,747.0
18000,1.3845592,-0.065487795,0.0,747.0
18750,1.3845496,-0.058164362,0.0,747.0
19500,1.3845546,-0.03585882,0.0,747.0
20250,1.3845502,-0.035756875,0.0,747.0
21000,1.3845571,-0.06436795,0.0,747.0
21750,1.3845553,-0.047430526,0.0,747.0
22500,1.3845446,-0.021783983,0.0,747.0
23250,1.3845912,-0.07283682,0.0,747.0
24000,1.3845582,-0.028188089,0.0,747.0
24750,1.3849902,-0.07838609,0.0,747.0
25500,1.3852721,-0.04606505,0.0,747.0
26250,1.3852451,-0.056602046,0.0,747.0
27000,1.3852748,-0.050032664,0.0,747.0
27750,1.3852772,-0.044037044,0.0,747.0
28500,1.385312,-0.028111612,0.0,747.0
29250,1.3853228,-0.013247679,0.0,747.0
30000,1.3852767,-0.03252891,0.0,747.0
30750,1.3852466,-0.032258417,0.0,747.0
31500,1.3852029,-0.07779577,0.0,747.0
32250,1.3852053,-0.069605775,0.0,747.0
33000,1.3849746,-0.050056297,0.0,747.0
33750,1.3847466,-0.040765747,0.0,747.0
34500,1.3847497,-0.0426586,0.0,747.0
35250,1.3847455,-0.035055514,0.0,747.0
36000,1.3847481,-0.048696835,0.0,747.0
36750,1.3847513,-0.016930556,0.0,747.0
37500,1.384749,-0.029731527,0.0,747.0
38250,1.3847433,-0.05090037,0.0,747.0
39000,1.3847415,-0.04816852,0.0,747.0
39750,1.3847415,-0.05798365,0.0,747.0
40500,1.384751,-0.024395885,0.0,747.0
41250,1.384597,-0.04296003,0.0,747.0
42000,1.3844777,-0.026349137,0.0,747.0
42750,1.3844782,-0.03955285,0.0,747.0
43500,1.3844953,-0.0466698,0.0,747.0
44250,1.3844777,-0.02679292,0.0,747.0
45000,1.384552,-0.047986645,0.0,747.0
45750,1.3849187,-0.05281642,0.0,747.0
46500,1.3844764,-0.019523682,0.0,747.0
47250,1.3848412,-0.051948596,0.0,747.0
48000,1.385005,-0.048494745,0.0,747.0
48750,1.384478,-0.03659225,0.0,747.0
49500,1.3845956,-0.036821645,0.0,747.0
50250,1.3846896,-0.019064648,0.0,747.0
51000,1.3846892,-0.01632292,0.0,747.0
51750,1.3846871,-0.027874002,0.0,747.0
52500,1.3846886,-0.039262887,0.0,747.0
53250,1.3846895,-0.035370246,0.0,747.0
54000,1.3846871,-0.037443325,0.0,747.0
54750,1.3846871,-0.04258299,0.0,747.0
55500,1.3846878,-0.035853896,0.0,747.0
56250,1.3846891,-0.032065343,0.0,747.0
57000,1.3846865,-0.025525471,0.0,747.0
57750,1.3846096,-0.036113996,0.0,747.0
58500,1.3845273,-0.017887557,0.0,747.0
59250,1.384521,-0.012653723,0.0,747.0
60000,1.38453,-0.026301475,0.0,747.0
60750,1.38453,-0.024807999,0.0,747.0
61500,1.384528,-0.018477106,0.0,747.0
62250,1.384529,-0.027176505,0.0,747.0
63000,1.3845336,-0.03099742,0.0,747.0
63750,1.3845322,-0.029751113,0.0,747.0
64500,1.3845303,-0.021386506,0.0,747.0
65250,1.3845296,-0.024637634,0.0,747.0
66000,1.3842201,-0.022123786,0.0,747.0
66750,1.3837935,-0.01117377,0.0,747.0
67500,1.3838266,-0.019434847,0.0,747.0
68250,1.3837452,-0.008483733,0.0,747.0
69000,1.3837795,-0.014051206,0.0,747.0
69750,1.3837396,-0.017071964,0.0,747.0
70500,1.3837516,-0.011109647,0.0,747.0
71250,1.3838292,-0.019345475,0.0,747.0
72000,1.3837756,-0.012238681,0.0,747.0
72750,1.3837703,-0.0142245935,0.0,747.0
73500,1.3837869,-0.01486741,0.0,747.0
74250,1.3839804,-0.018518081,0.0,747.0
75000,1.3842442,-0.011153941,0.0,747.0
75750,1.3842338,-0.008493665,0.0,747.0
76500,1.3842345,-0.015417479,0.0,747.0
77250,1.3842344,-0.014787476,0.0,747.0
78000,1.3842397,-0.013783771,0.0,747.0
78750,1.3842357,-0.015366271,0.0,747.0
79500,1.3842348,-0.012775454,0.0,747.0
80250,1.384235,-0.015251547,0.0,747.0
81000,1.3842348,-0.014002089,0.0,747.0
81750,1.3844942,-0.007833667,0.0,747.0
82500,1.3840221,-0.011341554,0.0,747.0
83250,1.3838147,-0.01138055,0.0,747.0
84000,1.3838258,-0.01181754,0.0,747.0
84750,1.383777,-0.008157375,0.0,747.0
85500,1.3838623,-0.0116800815,0.0,747.0
86250,1.3838484,-0.010563132,0.0,747.0
87000,1.3838177,-0.011428204,0.0,747.0
87750,1.3838602,-0.01164753,0.0,747.0
88500,1.38387,-0.012450353,0.0,747.0
89250,1.3841084,-0.11818092,0.006000000284984708,747.0
90000,1.3837761,-0.009376555,0.0,747.0
90750,1.383544,-0.009222691,0.0,747.0
91500,1.3833157,-0.011170492,0.0,747.0
92250,1.3832829,-0.01059553,0.0,747.0
93000,1.3833164,-0.009244444,0.0,747.0
93750,1.3833021,-0.00941063,0.0,747.0
94500,1.3833045,-0.0057357424,0.0,747.0
95250,1.38332,-0.009880594,0.0,747.0
96000,1.3833008,-0.0060978676,0.0,747.0
96750,1.3833214,-0.0094191255,0.0,747.0
97500,1.383294,-0.009270372,0.0,747.0
98250,1.3833079,-0.0054419287,0.0,747.0
99000,1.3831395,-0.010250748,0.0,747.0
99750,1.3829962,-0.0077617704,0.0,747.0
100500,1.3829802,-0.008579685,0.0,747.0
101250,1.3829972,-0.007748723,0.0,747.0
102000,1.3829877,-0.006397227,0.0,747.0
102750,1.3829874,-0.008524679,0.0,747.0
103500,1.3829913,-0.007221406,0.0,747.0
104250,1.3829919,-0.008388333,0.0,747.0
105000,1.3829798,-0.008461694,0.0,747.0
105750,1.3829445,-0.002405458,0.0,747.0
106500,1.382986,-0.007825754,0.0,747.0
107250,1.3828353,-0.0036331667,0.0,747.0
108000,1.3827301,-0.012774332,0.0,747.0
108750,1.3827541,-0.05043523,2.0230000944575295,740.0
109500,1.3827276,-0.0056430064,0.0,747.0
110250,1.382733,-0.0030968294,0.0,747.0
111000,1.38277,-0.0068033487,-0.9770000247517601,663.0
111750,1.3827481,-0.010310099,0.0,747.0
112500,1.3827288,-0.004259533,0.0,747.0
113250,1.382727,-0.005383041,0.0,747.0
114000,1.3827301,-0.0021500648,0.0,747.0
114750,1.3827338,-0.0025578125,0.0,747.0
115500,1.383071,-0.019675255,0.0,747.0
116250,1.3833157,-0.023219062,0.0,747.0
117000,1.3833492,-0.019864606,0.0,747.0
117750,1.3833336,-0.023846315,0.0,747.0
118500,1.3833097,-0.016144147,0.0,747.0
119250,1.383344,-0.020805584,0.0,747.0
120000,1.3833216,-0.026986564,0.0,747.0
120750,1.3833393,-0.013571598,0.0,747.0
121500,1.3833315,-0.026803942,0.0,747.0
122250,1.3832831,-0.07480212,2.0250000945525244,734.0
123000,1.3833228,-0.07479596,0.0,747.0
123750,1.3836652,-0.03665522,0.0,747.0
124500,1.3839439,-0.10864233,0.0,747.0
125250,1.3839754,-0.08627254,0.0,747.0
126000,1.3839482,-0.091013126,0.0,747.0
126750,1.3839524,-0.098253645,0.0,747.0
127500,1.3839188,-0.08274678,0.0,747.0
128250,1.3839166,-0.08307942,0.0,747.0
129000,1.38376,-0.06162099,0.0,747.0
129750,1.3838576,-0.06649672,0.0,747.0
130500,1.3838801,-0.077879556,0.0,747.0
131250,1.3839577,-0.08263668,0.0,747.0
132000,1.3842081,-0.105962135,0.0,747.0
132750,1.3843703,-0.10323005,0.0,747.0
133500,1.3844012,-0.08220129,0.0,747.0
134250,1.3843908,-0.088515885,0.0,747.0
135000,1.3843316,-0.12222739,0.0,747.0
135750,1.3843663,-0.10437154,0.0,747.0
136500,1.3843977,-0.091934375,0.0,747.0
137250,1.3843735,-0.105891585,0.0,747.0
138000,1.3843459,-0.11591464,0.0,747.0
138750,1.3843131,-0.12614436,0.0,747.0
139500,1.3843827,-0.10433746,0.0,747.0
140250,1.384627,-0.07372241,0.004000000189989805,747.0
141000,1.3847733,-0.10515386,0.0,747.0
141750,1.3847576,-0.11195574,0.0,747.0
142500,1.3848059,-0.076465845,0.0,747.0
143250,1.3847548,-0.0978576,0.0,747.0
144000,1.3847762,-0.09944254,0.0,747.0
144750,1.3847637,-0.100657344,0.0,747.0
145500,1.384768,-0.08089713,0.0,747.0
146250,1.3847588,-0.12445081,0.0,747.0
147000,1.3847928,-0.10835,0.0,747.0
147750,1.385038,-0.22979955,0.004000000189989805,747.0
148500,1.3845358,-0.06459715,0.0,747.0
149250,1.3841431,-0.071653344,0.0,747.0
150000,1.384108,-0.07537916,0.0,747.0
150750,1.3841156,-0.08480861,0.0,747.0
151500,1.384038,-0.09484845,0.0,747.0
152250,1.3841659,-0.06825974,0.0,747.0
153000,1.3840944,-0.08909613,0.0,747.0
153750,1.3841044,-0.07994304,0.0,747.0
154500,1.3840085,-0.108172,0.0,747.0
155250,1.3840597,-0.09896026,0.0,747.0
156000,1.3840368,-0.12319279,0.0,747.0
156750,1.3844892,-0.1313595,0.0,747.0
