Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1400,1.3857619,0.21417615,0.0,1398.0
2800,1.3860061,0.0053280997,0.0,1398.0
4200,1.3860465,-0.044019435,2.0069999278057367,1022.0
5600,1.3859959,-0.064688295,2.0230000944575295,1254.0
7000,1.3859687,0.045016102,0.0,1398.0
8400,1.3860068,-0.06035875,0.0,1398.0
9800,1.3848697,-0.040439352,2.0100000938400626,1323.0
11200,1.385248,0.24820165,1.014500047371257,1090.5
12600,1.3851862,0.14181876,0.0,1398.0
14000,1.3850808,0.08294511,0.0,1398.0
15400,1.3851378,0.021594193,0.0,1398.0
16800,1.3850747,0.0052378885,0.0,1398.0
18200,1.3850925,0.03768859,2.0360000950749964,1104.0
19600,1.3850808,0.26559028,2.0069999278057367,987.0
21000,1.3850766,0.26139504,0.0,1398.0
22400,1.3850452,0.10873316,0.0,1398.0
23800,1.3850883,0.26375458,0.0,1398.0
25200,1.3849498,0.13373145,0.0,1398.0
26600,1.381941,0.17139459,0.0,1398.0
28000,1.3818042,0.39738768,0.0050000002374872565,1398.0
29400,1.381869,0.84515876,1.0034999639028683,1149.0
30800,1.3818213,0.34056064,2.020000094315037,1176.0
32200,1.3818499,0.30257717,2.013000093982555,1174.0
33600,1.381791,0.34266314,2.013000093982555,1265.0
35000,1.377178,0.41109288,2.0160000941250473,884.0
36400,1.3765359,0.5968301,1.0119999643065967,1297.5
37800,1.3765991,0.56967497,2.0069999278057367,1322.0
39200,1.3769281,0.77686983,2.0100000938400626,786.0
40600,1.3766937,0.5479785,0.0,1398.0
42000,1.3766931,0.55518323,2.0069999278057367,1371.0
43400,1.3723903,0.6032311,0.0,1398.0
44800,1.3725436,0.6074599,1.0080000470625237,1038.5
46200,1.3725429,0.6353216,2.0069999278057367,1195.0
47600,1.3725058,0.5797919,2.0069999278057367,1350.0
49000,1.3727578,0.5699247,2.0239999286131933,685.0
50400,1.3724883,0.6883438,2.01500009407755,1348.0
51800,1.3702455,0.73303604,0.0,1398.0
53200,1.36869,0.6395468,1.0050000469200313,1195.5
54600,1.3688699,0.6236154,2.0069999278057367,1232.0
56000,1.3683943,0.7461735,0.0,1398.0
57400,1.3685713,0.57656354,2.0069999278057367,672.0
58800,1.3684464,0.6236316,2.0100000938400626,1358.0
60200,1.3676015,0.6202933,1.0034999639028683,1135.5
61600,1.3669058,0.56195146,2.0069999278057367,602.0
63000,1.3667201,0.7969569,0.0,1398.0
64400,1.3666197,0.6205224,0.0,1398.0
65800,1.3668491,0.6545057,2.0069999278057367,1128.0
67200,1.366861,0.8243672,0.0,1398.0
68600,1.3656033,0.67127967,1.0034999639028683,1130.5
70000,1.363985,0.63596374,2.0069999278057367,859.5
71400,1.3647557,0.80867994,2.0069999278057367,1205.0
72800,1.3647158,0.67214364,2.0069999278057367,1058.0
74200,1.3637769,0.7453893,0.0,1398.0
75600,1.3638515,0.7690161,2.024000094505027,1266.0
77000,1.3602908,0.69052875,2.0069999278057367,1007.0
78400,1.359055,0.8246839,2.015499928209465,1027.5
79800,1.3589951,0.83654404,0.0,1398.0
81200,1.3594384,0.8015868,2.009000093792565,1249.0
82600,1.3590498,0.8765288,0.0,1398.0
84000,1.3590555,0.81822884,2.0069999278057367,1308.0
85400,1.3590695,0.9572456,0.0,1398.0
86800,1.3594052,0.9780654,2.0069999278057367,948.0
88200,1.3588195,0.98641396,1.0034999639028683,1282.5
89600,1.3590323,0.95882314,0.0,1398.0
91000,1.3593154,1.2666334,2.013000093982555,756.0
92400,1.3589908,0.96118367,2.0120000939350575,1314.0
93800,1.3602332,0.96275973,2.022000094410032,1208.0
95200,1.3579061,1.2631533,0.0,1398.0
96600,1.3562155,1.0019047,2.0069999278057367,1159.0
98000,1.3557492,1.1260782,2.0165000112028793,1086.5
99400,1.3601018,1.0305809,2.0069999278057367,1041.0
100800,1.3590673,1.1801322,1.0034999639028683,1023.5
102200,1.3549936,1.1852398,0.0,1398.0
103600,1.3528378,1.2372856,0.0,1398.0
105000,1.3582716,1.2183744,0.0,1398.0
106400,1.3531624,1.3638742,0.0,1398.0
107800,1.3580933,1.2377702,0.0,1398.0
109200,1.3579985,1.3273284,0.0,1398.0
110600,1.3531696,1.3276622,0.0,1398.0
112000,1.3531027,1.2058542,0.0,1398.0
113400,1.353094,1.1456642,0.0,1398.0
114800,1.3587025,1.2049975,2.0069999278057367,847.0
116200,1.3547876,1.2620645,0.0,1398.0
117600,1.3556627,1.197598,0.0,1398.0
119000,1.3548604,1.1795938,2.020000094315037,998.0
120400,1.3579644,1.3669791,0.0,1398.0
121800,1.3605629,1.1623578,2.013000093982555,1109.0
123200,1.3604275,1.3355505,0.0,1398.0
124600,1.3581561,1.1838343,0.0,1398.0
126000,1.3576297,1.3528386,0.0,1398.0
127400,1.3529215,1.1508441,1.00550004694378,1355.0
128800,1.3548051,1.0790265,0.0,1398.0
130200,1.3546983,1.2107394,0.0,1398.0
131600,1.3544149,1.1151042,0.0,1398.0
133000,1.354831,1.0817958,0.0,1398.0
134400,1.35489,1.2266675,0.0,1398.0
135800,1.3549253,1.1847323,2.0120000939350575,1332.0
137200,1.349648,1.0181365,2.01500009407755,1318.0
138600,1.3479949,0.980329,2.0069999278057367,1361.0
140000,1.3474241,1.2103972,0.0,1398.0
141400,1.3469073,0.9116571,0.0,1398.0
142800,1.3472604,1.0874988,0.0,1398.0
144200,1.347494,1.1083331,0.0,1398.0
145600,1.3453246,0.95880914,0.0,1398.0
147000,1.3468382,0.9854511,2.0080000937450677,1345.0
148400,1.3464384,1.04523,0.0,1398.0
149800,1.3461425,1.0645583,0.0,1398.0
151200,1.3461232,0.974414,0.0,1398.0
152600,1.344991,1.0300491,0.0,1398.0
154000,1.3441021,0.99684703,0.0,1398.0
155400,1.3432173,1.0110973,0.0,1398.0
156800,1.345049,0.8819062,2.0120000939350575,1019.0
158200,1.3430909,1.0087225,2.0069999278057367,1323.0
159600,1.3426785,0.8188706,1.0045000468962826,1034.5
161000,1.3440881,0.91994786,2.0069999278057367,862.0
162400,1.3441632,0.92336184,2.0069999278057367,743.0
163800,1.3424255,1.116553,0.0,1398.0
165200,1.3422536,1.0021505,0.0,1398.0
166600,1.342342,1.0966055,0.0,1398.0
168000,1.3422327,0.96774673,2.0080000937450677,1305.0
169400,1.3420752,0.92527527,0.0,1398.0
170800,1.3418615,1.0260746,0.0,1398.0
172200,1.3419379,1.2390323,0.0,1398.0
173600,1.3409523,1.1056894,1.0034999639028683,1383.0
