Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1400,1.3849759,-1.0212018,-0.29402515,0.0,1398.0
2800,1.385097,-0.8843509,-0.42379057,0.0,1398.0
4200,1.3847061,-0.67608386,-0.21675368,2.0174000339611666,774.0
5600,1.3845453,-0.9243046,-0.43467999,0.0,1398.0
7000,1.384577,-1.0622876,-0.5772026,0.0,1398.0
8400,1.3845645,-1.025413,-0.5932483,0.0,1398.0
9800,1.3841928,-0.9808718,-0.61758995,2.034400034812279,1360.0
11200,1.3840654,-1.0008521,-0.649968,0.0,1398.0
12600,1.3841276,-0.737347,-0.53909075,-0.9686999948535231,794.5
14000,1.3844113,-0.80646837,-0.5808307,1.0159999810857698,1049.0
15400,1.3843815,-0.77548605,-0.53146124,2.018400034008664,1157.0
16800,1.3844504,-0.80452114,-0.5837295,2.0063999608828453,1397.0
18200,1.3845394,-0.67701364,-0.44340235,2.0103999610582832,1219.0
19600,1.3845654,-0.82457787,-0.5589363,0.0,1398.0
21000,1.3845806,-0.8851464,-0.5655532,1.0007000165787758,994.5
22400,1.3849723,-0.8308508,-0.5511813,0.0,1398.0
23800,1.3854344,-0.8134135,-0.5627521,0.0,1398.0
25200,1.3855108,-0.7430543,-0.53300923,0.0,1398.0
26600,1.3850472,-0.78292984,-0.5646429,2.003399960725801,1132.0
28000,1.3846427,-0.6253213,-0.4861576,0.0,1398.0
29400,1.3846785,-0.6794239,-0.4695297,0.0,1398.0
30800,1.3846854,-0.7192625,-0.5180997,0.0,1398.0
32200,1.3847975,-0.6947265,-0.58712345,2.008399961006944,870.0
33600,1.3847699,-0.60708976,-0.4543033,0.0,1398.0
35000,1.3848146,-0.62067235,-0.55754244,2.018400034037768,1080.0
36400,1.3861003,-0.59327835,-0.483801,0.0,1398.0
37800,1.3861022,-0.47471792,-0.3402904,0.0,1398.0
39200,1.3861036,-0.45445776,-0.29991025,0.0,1398.0
40600,1.3841739,-0.46834642,-0.3984943,0.0,1398.0
42000,1.384076,-0.4164101,-0.48514813,0.0,1398.0
43400,1.3840489,-0.44416392,-0.5719388,2.0014000331575517,1358.0
44800,1.383015,-0.39643168,-0.59066683,0.0,1398.0
46200,1.3829094,-0.17021134,-0.10904175,0.0,1398.0
47600,1.3831164,-0.3038402,-0.45989698,0.0,1398.0
49000,1.3816125,-0.31353152,-0.5883275,0.0,1398.0
50400,1.3814721,-0.26694825,-0.5783747,0.0,1398.0
51800,1.3821256,-0.25424302,-0.5739825,1.0007000165787758,1391.5
53200,1.3839595,-0.1952249,-0.6220483,2.0014000331575517,809.0
54600,1.3838439,-0.23974381,-0.8199987,2.0174000339757185,1229.0
56000,1.3842362,-0.15755418,-0.4441011,0.0,1398.0
57400,1.3846165,-0.15117663,-0.8313973,2.0014000331575517,1035.0
58800,1.3847263,-0.15042734,-0.8029636,0.0,1398.0
60200,1.3843107,-0.17228454,-0.8363019,2.0014000331575517,1202.0
61600,1.3846508,-0.051862065,-0.5493928,0.0,1398.0
63000,1.384494,-0.03661535,-0.7552695,0.0,1398.0
64400,1.384425,-0.087283425,-0.81766456,1.0007000165787758,1105.0
65800,1.3814833,0.030734537,-0.5603907,0.0,1398.0
67200,1.381455,0.010398585,-0.78865635,0.0,1398.0
68600,1.3814764,0.027812887,-0.7947118,0.0,1398.0
70000,1.3841325,0.01606279,-0.9813638,2.032199962181039,1195.0
71400,1.3841482,0.122146696,-0.18909845,0.0,1398.0
72800,1.3841441,0.051841103,-0.90402615,2.0053999608499,1338.0
74200,1.382848,0.19993803,-0.9848673,0.0,1398.0
75600,1.3833401,0.33879912,-0.9310105,0.0,1398.0
77000,1.3829712,0.21260774,-1.3215753,2.0163999613723718,1126.0
78400,1.3820782,0.38352722,-0.5928824,0.0,1398.0
79800,1.3817898,0.1346304,-1.6040545,0.0,1398.0
81200,1.3813901,0.2092233,-1.4349822,0.0,1398.0
82600,1.3828269,0.25724205,-1.0262448,0.0,1398.0
84000,1.3837506,0.22084847,-1.2411149,0.0,1398.0
85400,1.3837299,0.20619464,-1.2552264,0.0,1398.0
86800,1.3821573,0.26123273,-1.0034344,0.0,1398.0
88200,1.3807719,0.1729692,-1.2535226,0.0,1398.0
89600,1.3807706,0.17931709,-1.2148848,0.0,1398.0
91000,1.379184,0.17987958,-1.2098863,0.0,1398.0
92400,1.3780283,0.064344786,-1.4224287,0.00019999999494757503,1398.0
93800,1.3780429,0.11233828,-1.2969689,0.0,1398.0
95200,1.3781166,-0.041657723,-1.6561191,2.0063999608973972,1055.0
96600,1.3731617,0.084195375,-1.2639595,0.0,1398.0
98000,1.3727206,0.042528644,-1.38236,0.0,1398.0
99400,1.3727711,0.042239916,-1.3764907,0.0,1398.0
100800,1.3693153,0.008034047,-1.4572012,0.0,1398.0
102200,1.3690636,-0.01966089,-1.553155,0.0,1398.0
103600,1.3690671,-0.013570077,-1.4284505,0.0,1398.0
105000,1.3737173,-0.019432459,-1.5188165,0.0,1398.0
106400,1.3735664,-0.016036844,-1.7299578,0.0,1398.0
107800,1.3734647,-0.0168978,-1.6272198,0.0,1398.0
109200,1.3699745,0.0050529772,-1.6207013,0.0,1398.0
110600,1.3697474,0.06794414,-1.8257005,0.0,1398.0
112000,1.3697327,0.061419122,-1.8973701,0.0,1398.0
113400,1.3661516,0.018864568,-1.7423878,0.0,1398.0
114800,1.366192,-0.0518075,-1.6167107,0.0,1398.0
116200,1.3661819,-0.052704293,-1.6015104,0.0,1398.0
117600,1.368595,-0.08579341,-1.6176379,0.0,1398.0
119000,1.3694439,-0.025460212,-1.7525132,0.0,1398.0
120400,1.3696262,-0.10381892,-1.6494081,0.0,1398.0
121800,1.3634186,-0.0036067292,-1.8133805,0.0,1398.0
123200,1.3655308,-0.06367816,-1.7205567,0.0,1398.0
124600,1.3665698,-0.16742349,-1.6575956,0.0,1398.0
