Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1400,1.384147,0.5626864,1.9817132,0.0007999999797903001,1398.0
2800,1.3844136,0.46525782,2.1206965,0.0,1398.0
4200,1.3843873,0.5369521,2.0360258,0.0,1398.0
5600,1.3843328,0.38136664,2.0568104,2.0014000331575517,1334.0
7000,1.3840381,0.5022596,1.9203625,0.0,1398.0
8400,1.3839362,0.47613305,1.9183148,2.0315999621525407,1010.0
9800,1.3810292,0.43922162,2.1939297,2.009400033566635,1138.0
11200,1.3809474,0.4536531,2.2585845,2.003399960740353,1340.0
12600,1.3808417,0.42489293,2.2546425,0.0,1398.0
14000,1.3849064,0.3242253,2.610821,2.0093999610398896,1021.0
15400,1.3849199,0.2806766,2.6609967,2.0014000331575517,1306.0
16800,1.3849125,0.30118296,2.7158065,2.0014000331575517,1280.0
18200,1.380176,0.34776166,2.8352695,0.0,1398.0
19600,1.3801172,0.28808594,3.214139,2.0063999608682934,1038.0
21000,1.3801432,0.27805364,3.1814442,0.0,1398.0
22400,1.3782377,0.29128832,3.2954588,2.009599961042113,1006.5
23800,1.3781736,0.13227357,3.6544852,0.0,1398.0
25200,1.3772097,0.19572,3.6542406,-0.9673999781953171,824.0
26600,1.3738569,0.25319433,3.5357137,0.0,1398.0
28000,1.370413,0.1436504,4.1811023,0.0,1398.0
29400,1.3704246,0.107362926,4.251987,0.0,1398.0
30800,1.3723712,0.175174,4.239054,2.015899961363175,1187.5
32200,1.3758243,0.08329631,5.1436462,2.0023999606783036,872.0
33600,1.3758808,0.14599963,4.893737,0.0,1398.0
35000,1.3766379,0.117969856,4.9342656,0.0,1398.0
36400,1.3795905,0.25920677,5.5731096,2.008399960992392,771.0
37800,1.3786192,0.1756589,5.118921,2.0023999969416764,1138.5
39200,1.3774798,0.1326103,5.303773,2.013899961282732,829.5
40600,1.3742609,0.100318804,5.8974023,2.0023999606783036,1049.0
42000,1.3748178,0.09812512,5.905239,2.0014000331575517,1247.0
43400,1.37406,0.13624716,5.8347225,2.0014000331575517,1246.0
44800,1.376024,0.11220482,6.063432,2.0063999608828453,905.0
46200,1.3760686,0.104408406,6.0493217,2.0054999608255457,1071.0
47600,1.3758875,0.10640204,6.119629,2.012399961211486,1325.0
49000,1.3789042,0.1575078,6.0875025,0.0,1398.0
50400,1.3801281,0.1509886,5.855208,0.0,1398.0
51800,1.3799717,0.17668125,6.285858,0.0,1398.0
53200,1.3813726,0.17740537,6.3333526,0.0,1398.0
54600,1.3812529,0.20059276,6.2739844,0.0,1398.0
56000,1.3814064,0.18574013,6.4384384,0.0,1398.0
57400,1.3856931,0.19789279,6.3934875,0.0,1398.0
