Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
10000,1.38505,1.0012750075347867,1249.75,-1.2256458,0.7711888,1.1443143089251993,249.99430629185267,0.01349962,0.10905721,9.99549e-06,7.326938,0.3150421,0.6815419
20000,1.3835081,0.5718285809021576,1454.5714285714287,-1.0000073,1.5985321,0.2859142848423549,396.28941127232144,6.4211655,0.10844189,9.98551e-06,1.2583789,0.26239502,0.732789
30000,1.3814718,1.2510000116635638,1230.625,-0.761027,3.4483624,1.5011749863624573,400.4932498931885,8.942557,0.12984037,9.973783e-06,0.788208,0.2574748,0.74919385
40000,1.3754578,1.0017250075670745,1277.5,-0.9140661,5.397955,1.0017249882221222,482.9400157928467,1.2258759,0.11753076,9.965035e-06,0.6390209,0.20555001,0.7906179
50000,1.3733404,1.3367111011062258,1102.888888888889,-0.5997718,7.0486097,1.336711088816325,965.746090359158,57.232803,0.12377202,9.955955e-06,1.2096791,0.40078992,0.6378776
60000,1.3703119,1.7792666880931292,1135.4444444444443,-0.19338375,8.264217,1.5568888717227511,379.4050598144531,11.001617,0.12227621,9.9458375e-06,0.97491515,0.33995438,0.6831596
70000,1.3682644,1.3346000140623397,1119.7777777777778,0.060279086,8.93659,1.3345999982621934,241.17227681477866,2.1843507,0.11698698,9.936532e-06,0.6174046,0.19988286,0.79392326
80000,1.3647921,1.6383091114773627,923.7272727272727,0.14180861,9.572348,1.63830909520303,447.2639909224077,11.607727,0.11461624,9.924697e-06,0.79562384,0.27607656,0.74705917
90000,1.3727821,1.1166444595211134,1071.111111111111,0.12602869,10.0507345,1.1166444288359747,603.5767974853516,29.1215,0.123615265,9.913074e-06,0.89416575,0.31635332,0.71872663
100000,1.37996,1.5568000177348342,1080.4444444444443,0.18185152,10.344484,1.7791777907890112,574.8248257107205,22.775524,0.113948956,9.903917e-06,0.8534405,0.30423734,0.7316662
110000,1.3769494,1.8035800154495518,1061.2,0.18746057,10.674491,1.603439998626709,435.7887466430664,17.411165,0.1199049,9.8947185e-06,0.76846665,0.266374,0.7546667
120000,1.3679416,1.8038000082073267,956.3,0.21516225,11.054174,1.8037999868392944,498.62295761108396,18.777569,0.117323264,9.885592e-06,0.9652883,0.35280737,0.69489443
130000,1.3709598,1.836516679022073,862.0,0.2754157,11.344646,1.8365166783332825,420.14798100789386,19.797266,0.12021199,9.8766695e-06,0.9369817,0.28376007,0.7380284
140000,1.3680706,1.5426153991877352,730.9230769230769,0.40417364,11.727677,1.5426153861559355,405.6389406644381,13.407876,0.11667367,9.864986e-06,0.9112306,0.32825914,0.70874524
150000,1.3654897,1.3126615551065277,773.9230769230769,0.45634875,12.246908,1.312661533172314,429.3291479257437,17.34758,0.11711103,9.853118e-06,0.9443201,0.34222582,0.6989609
160000,1.362003,1.7732615540209316,752.5384615384615,0.5812865,12.718526,1.7732615425036504,439.4047552255484,19.194635,0.1200178,9.844192e-06,0.9890714,0.3637385,0.68527925
170000,1.3717208,1.2776000153548508,977.7272727272727,0.57704145,13.181018,1.549036367373033,331.51816142689097,4.868119,0.12756206,9.835242e-06,0.7478119,0.2538679,0.75536454
180000,1.3592145,1.3122000226766641,714.1538461538462,0.5579873,13.744661,1.0825230662639325,337.5244011512169,20.181585,0.13052759,9.826128e-06,0.91082585,0.31926268,0.7099329
190000,1.3548267,0.7242142835675622,716.7857142857143,0.50372344,14.303664,0.7234428567545754,516.7447640555246,27.319824,0.13052171,9.8167475e-06,1.0543419,0.38497832,0.66352296
200000,1.3697051,0.8407500115487588,880.8333333333334,0.44417408,14.843583,1.0084333270788193,508.25310770670575,17.49653,0.11764589,9.805222e-06,1.1772482,0.43796292,0.60764825
210000,1.3715303,2.0041000030699556,864.9166666666666,0.46892366,15.156209,1.837316632270813,470.6526845296224,19.445171,0.11485852,9.794287e-06,0.94095063,0.32258865,0.697077
220000,1.3721095,1.782355561021379,996.7777777777778,0.41424087,15.543572,1.780866675906711,514.0534871419271,21.03232,0.1164563,9.785754e-06,0.9342402,0.33678558,0.6955303
